galaxies_lens_bulge_mass_to_light_ratio,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_dark_mass_at_200,log_likelihood,log_prior,log_posterior,weights
0.0005906259927101756,-0.12707007325300243,-0.06969006605710022,683441289727573.2,-2182.6330520940955,1694.1690228040427,-488.46402929005285,0.0
0.19253994205081507,-0.05936915795053805,0.036560773428821886,584380602111690.0,-2159.337429484848,5.436796895658366,-2153.9006325891896,0.0
3.928480457808443e-05,-0.0813422879199454,0.06931620494650169,888711846221895.6,-2127.7948870757186,25455.705963796536,23327.91107672082,0.0
2.1518875521713427e-05,-0.057049035445831696,-0.06179123501159234,627232953459479.9,-2037.4812187372986,46471.18335116536,44433.702132428065,0.0
9.28961611589088e-05,-0.09820412999542072,0.001688289388609676,753318878923896.9,-2006.9211752151523,10765.18981548651,8758.268640271359,0.0
0.0007300506151036552,0.020965588663141407,-0.028558042507649203,681615194450725.8,-2002.8528060262424,1369.8307956777087,-633.0220103485337,0.0
0.03462224539611887,0.07632233822385576,0.17368104692058287,921160494250353.2,-1967.2640037918159,30.682674504708068,-1936.5813292871078,0.0
8.098225355019669e-06,0.008404214578862002,-0.0922097345091834,587675720037570.0,-1955.7524179571492,123484.27310585263,121528.52068789548,0.0
0.4487915457699575,-0.0430215241017345,0.015288459716674254,379049697389518.75,-1951.2909861197113,2.3324353933286153,-1948.9585507263828,0.0
0.21199395499799062,-0.03025659779915358,0.14827528714925686,593813121545629.4,-1942.1297171794695,5.86216676114618,-1936.2675504183233,0.0
0.3855009325283111,0.09286640866109162,0.05154338031293733,422366440349002.3,-1928.964603052611,3.1580719430450017,-1925.806531109566,0.0
0.00010727373429784329,0.10315560695155901,0.17581859066790984,955367067598893.2,-1917.4157069012508,9324.024051129283,7406.608344228032,0.0
0.03827556559441814,0.05937857780462824,0.10621759518524218,771886827233458.1,-1871.7525277014938,26.86672814510139,-1844.8857995563924,0.0
2.3145689527543583e-05,-0.0696028115378225,-0.06620755225230912,598421231349489.4,-1847.5213997894352,43205.050263078774,41357.528863289335,0.0
1.4471857876464652e-06,-0.04948197919127144,-0.029095088149376783,635845832879542.6,-1835.4960267002512,690996.4476982941,689160.9516715938,0.0
0.00011626097900558758,-0.11291655688720137,0.06999953995124064,800245992821381.6,-1834.9845671861003,8602.220705165417,6767.2361379793165,0.0
0.0033430445766419363,0.022763347154280016,0.02390668263032282,700959694654094.1,-1791.3652651176826,299.1830120004486,-1492.182253117234,0.0
0.03907553905723336,-0.04998235224553179,0.06318124658491917,675964953530562.2,-1790.340281792307,25.915962847712922,-1764.424318944594,0.0
0.11570614477397101,-0.001587796349147129,-0.05870802347507468,426836576781022.75,-1721.840137075605,8.815041003146932,-1713.0250960724582,0.0
0.4831624548910322,0.17092572031855288,0.07709456992806511,306618571786601.94,-1713.827133174731,3.8276559702659236,-1709.9994772044652,0.0
0.14043741890463515,0.013515133372822098,0.030089664797248193,504690176725435.9,-1711.7158594987995,7.175011701113382,-1704.5408477976862,0.0
0.12117366768727217,-0.011854138584089523,0.10585643964550874,603928930968950.4,-1704.505906626529,8.819923394396547,-1695.6859832321325,0.0
3.2337186312429705e-06,-0.22420424554978313,-0.04766516915242681,611836838209953.4,-1702.0861627566487,309244.12694359,307542.04078083334,0.0
0.44739915484685655,0.05886155386185585,0.059908938717377215,336624910308694.7,-1699.0076077335048,2.587828738633861,-1696.419778994871,0.0
0.4681612694509797,-0.08411584495600426,0.04525832800624472,330907313763132.75,-1687.7290146916807,2.5922056622252194,-1685.1368090294554,0.0
0.23700779779494752,0.22069673958231736,0.05246957433787738,379520596457482.6,-1677.4856085820606,6.79227581456399,-1670.6933327674967,0.0
2.7807286991170188e-05,-0.20565084510250292,-0.15111409340709475,499091768043159.56,-1670.0785514671625,35965.05303104468,34294.97447957752,0.0
0.0010045387402273147,0.06994769240259892,0.053180113329434724,686497801929932.5,-1660.6151081317716,995.8678070655068,-664.7473010662649,0.0
0.15275020961324548,-0.04439382114437939,0.12339893646784895,548494502711894.5,-1650.5877666983758,7.406541304667693,-1643.1812253937082,0.0
0.1028063319210067,-0.13215205263143273,-0.1610803858279834,274519904123011.9,-1648.3235239934636,11.89758011281271,-1636.425943880651,0.0
0.009299909630031872,-0.08368659532803004,-0.08872111800397896,515450453763147.3,-1647.0962136832604,108.27167074176602,-1538.8245429414944,0.0
0.0004855456596149111,-0.13254710044049803,-0.10404109567616698,514590750349953.1,-1623.3322650658374,2060.95820642307,437.6259413572325,0.0
0.00014629053931821857,-0.1230746678808287,-0.22974634519988724,382362526810512.2,-1596.0397294783338,6839.108571317854,5243.06884183952,0.0
0.009878249382332956,0.008804290228326635,0.3841191328271999,747735640450636.0,-1529.7245747568086,108.61376327398075,-1421.1108114828278,0.0
1.7389596825199263e-05,0.055349512196364074,-0.02054275530301348,565813478512680.8,-1505.6663898013398,57505.820329693415,56000.15393989207,0.0
2.6082148484612767e-05,-0.008962208663499146,-0.05902856867255668,517227021062813.4,-1493.9452584955816,38340.578013835664,36846.632755340084,0.0
2.171355741564089e-05,0.053584342226384286,0.1082942030041614,700060362014161.5,-1493.6388448596024,46054.90618501078,44561.26734015118,0.0
1.0894393181330032e-06,0.011942584960567507,0.10599688513930561,710357325137664.4,-1492.260871520797,917903.9191405767,916411.6582690559,0.0
0.0024727106093185617,-0.3042550327783625,-0.08364462643942036,512931246524815.94,-1487.9795303243964,409.39286743116105,-1078.5866628932354,0.0
0.07272007343454906,0.06844495608635026,-0.03330969909213104,433775963896009.6,-1465.9101964561478,14.04107365439472,-1451.869122801753,0.0
0.6080981740061252,-0.05102210854438775,-0.04786633618920873,114246518434937.48,-1456.6958407021216,1.8891933936820444,-1454.8066473084396,0.0
1.7518790426622847e-05,0.08800621575443382,0.05785813969261177,639652681258852.6,-1452.6465229280468,57082.12109085729,55629.47456792925,0.0
0.5354899934421475,0.02603454047665055,-0.2457727639354928,83848354872386.02,-1449.3265075154789,4.921550967493192,-1444.4049565479856,0.0
2.040512791693985e-05,-0.14348010536983627,0.12259701669061875,694748025496819.8,-1444.1640429578888,49009.06978398578,47564.90574102789,0.0
2.475175592661847e-06,-0.06405418007365313,0.15019075815255709,680587148447227.5,-1432.2410252306051,404013.0738193895,402580.8327941589,0.0
1.1877555843088298e-05,-0.07409609983306456,0.11798171271970051,700234468507871.4,-1411.8857953729362,84193.37617345779,82781.49037808485,0.0
0.22455557075250798,-0.0009580886377161669,0.0978644604827929,404206404273114.56,-1408.9474863174078,4.932159196412077,-1404.0153271209956,0.0
9.40675482868044e-05,-0.2699403145631923,-0.08280208986407175,493065634967746.3,-1397.352509900472,10634.644891780204,9237.292381879732,0.0
0.001211072876222968,-0.08134869866206312,-0.019998381371482833,540708330353468.25,-1381.0857996176478,826.0650185667547,-555.0207810508931,0.0
0.31238455679782473,0.15920788890469548,0.05504256929240719,251736464085899.66,-1375.5924232192367,4.620024391445122,-1370.9723988277915,0.0
0.00017296996501726803,0.09751503330848013,-0.07752234973575009,479188583190636.9,-1372.5607781288636,5782.126481026817,4409.565702897953,0.0
0.000711717118147497,-0.15432363855729164,0.05975572756961345,553826308538040.5,-1368.1699808915635,1406.4219444391188,38.251963547555306,0.0
0.00012470012950166077,0.09515738637851918,-0.11157235681918919,435417059652669.3,-1339.086533906741,8020.313028783259,6681.226494876519,0.0
0.09323632620820424,0.05695907285825171,-0.13542228809329693,236978152146932.88,-1336.0108623078777,11.804609927369057,-1324.2062523805087,0.0
0.017266108599874177,0.008932217594619707,0.07998204013377133,606458571383405.9,-1333.9155729170927,58.24077538024165,-1275.674797536851,0.0
0.003184688129900272,-0.1378571702318515,0.08679443372064655,635263475038733.4,-1325.0698033257875,315.329382819546,-1009.7404205062414,0.0
4.7713004586657425e-05,0.011474580729956094,-0.06926982768048133,458529386562448.94,-1312.8055179791147,20958.89307033299,19646.087552353874,0.0
0.00013216941130205103,-0.09012784852738821,-0.054357701003807296,479979802862811.5,-1309.688947983852,7566.601056845943,6256.912108862091,0.0
3.7147685048015854e-05,-0.06759764373753466,0.09608071485678295,643915685589224.2,-1301.0711186347105,26920.26790809965,25619.19678946494,0.0
0.000876022720706389,-0.1268660883335798,0.03757365451518027,562686897907349.5,-1292.1102748661656,1142.3982430677245,-149.7120317984411,0.0
0.0211916176369004,0.07479408831407704,-0.052617322632204346,421676432093240.06,-1254.8610904111977,47.606606295728646,-1207.254484115469,0.0
9.126504435276914e-05,-0.1294516341095477,0.12438652963433555,626218504244129.9,-1252.6721897268033,10958.709103791723,9706.03691406492,0.0
0.04387491380623347,-0.09353197808256213,0.1814279909920164,611132973897488.2,-1251.8999651219851,24.875284909701733,-1227.0246802122833,0.0
1.0877813189279554e-05,0.08938204868317569,0.05715646745662118,572581711634337.1,-1250.8851128549848,91930.80489978865,90679.91978693366,0.0
3.059146220029178e-05,-0.07095503404107639,-0.11639208971483202,383917161963240.2,-1249.2744272193818,32689.788267566793,31440.513840347412,0.0
2.0629963460046016e-05,0.05071836095072281,-0.06226673183587838,403527975200130.56,-1239.7641762373134,48473.50576175985,47233.74158552253,0.0
0.0005870245844317288,0.16486457889985634,0.009394420009571981,512455520649682.1,-1217.9265891555017,1704.8695966338926,486.9430074783909,0.0
1.150618136497775e-05,0.12810664613999098,0.17980343518559233,588732248578179.2,-1213.628019643563,86912.24387842366,85698.61585878009,0.0
8.88864964100911e-06,0.014164806179870615,-0.06519557967060571,432968390435242.5,-1207.3640416840594,112503.25061774705,111295.88657606299,0.0
6.915423286337708e-05,-0.017583388493865718,0.1080081621890909,610352626612323.0,-1203.8195911225098,14461.029563591657,13257.209972469147,0.0
5.17326666135665e-05,-0.17855275169196108,-0.06110142653113776,437947692309637.4,-1196.053464360272,19331.92675035034,18135.873285990067,0.0
0.0907064277544937,-0.004734984505089617,0.06000930532922598,436123897417800.06,-1173.574603690116,11.20575387136955,-1162.3688498187464,0.0
0.04696695761436447,-0.09110866095972124,0.0002079880170260353,431861160890627.25,-1155.8400340940393,21.706605910167333,-1134.133428183872,0.0
0.015279533421686378,-0.15027432094199716,-0.12648035255303633,302777650971834.5,-1136.2891960720222,67.37600717378258,-1068.9131888982395,0.0
0.04421301178884052,0.039771669474797426,-0.1015041491227406,305102632323100.5,-1135.3944613705157,23.21201996863886,-1112.1824414018768,0.0
0.0009837296520399266,-0.1041532057877495,-0.025906670159831908,460491408136691.4,-1132.2276974309566,1017.1154028677454,-115.11229456321121,0.0
0.03890428607057884,-0.19978737220681697,-0.1480479806189928,271333755410119.3,-1127.196242672718,28.795768682952147,-1098.4004739897657,0.0
0.0009771143775457966,0.1567075873614089,-0.0381046591394835,406644744723880.7,-1124.815665526855,1024.722102943357,-100.09356258349794,0.0
0.001537022940154007,-0.11404483676691485,-0.026038283387152587,453748201945760.5,-1119.2390761119054,651.2925875209513,-467.9464885909541,0.0
0.1908033489080571,0.15725671532291163,0.10884284655455577,282908709470366.0,-1116.997371996449,7.0698201451353695,-1109.9275518513136,0.0
1.1963213247347356e-06,-0.03345866483687713,0.04323503105834775,493728041946530.2,-1105.9558625668724,835895.9738488413,834790.0179862744,0.0
0.0034515432120268306,0.008876434463235525,-0.04356142403425185,420568303909942.9,-1105.1574399807707,289.824295426322,-815.3331445544487,0.0
0.5863275381005136,-0.0872205288243606,-0.06927975366319498,105815453761193.77,-1099.2357735575856,2.325886599897129,-1096.9098869576885,0.0
0.08750841169877151,0.037012504036782926,-0.08508321370089776,259265478360114.03,-1094.8428824714315,11.857926798757896,-1082.9849556726735,0.0
0.0008712460443897356,0.061184340347679333,0.006796232847824449,475536204474774.5,-1091.5564678897401,1147.9708803641533,56.41441247441321,0.0
0.09629440011781944,0.16570429852002755,0.1121079930915965,379803835080222.06,-1089.2590866314808,12.38612570612972,-1076.8729609253512,0.0
0.0018841777212277326,-0.050443238561584086,0.143957762863568,439687588583389.25,-1085.0882064323841,531.8989152553412,-553.189291177043,0.0
0.07681462416897931,0.032965398126505056,-0.10999056592880938,237379532233829.72,-1082.6556094363968,13.677586496389612,-1068.9780229400071,0.0
0.005513294101884065,0.000653450236302523,-0.03532668310593464,421678188058755.44,-1082.404185367457,181.4421871489757,-900.9619982184814,0.0
0.39582547037973353,0.0001452725154219614,-0.14151120046635154,105564639621146.88,-1078.6668391021947,3.527638022051572,-1075.139201080143,0.0
0.09989813713771951,-0.06206680793009356,0.023572117399695794,357316504915956.25,-1076.7170571132583,10.230593341117684,-1066.4864637721407,0.0
0.005222311655874817,-0.01921068759687918,-0.04037000011586622,406057298725395.5,-1065.2502212489223,191.58602176077093,-873.6641994881514,0.0
0.11749861481512938,-0.12800155677836342,-0.04059262481020634,248342920480396.38,-1055.1309019460764,9.412346615664296,-1045.718555330412,0.0
0.0011564043538571014,0.07444723539102284,0.06076339171784793,491809482897196.06,-1026.7311367841648,865.211153974945,-161.51998280921987,0.0
6.178460486281252e-05,-0.031179641741581256,0.006088966477813536,457021171906505.7,-1024.6470320443364,16185.312182741407,15160.66515069707,0.0
