galaxies_lens_dark_mass_at_200,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
477842877684191.44,29098.17852623023,1.516566224878117,2.948551882093815,3.179216194372938,-17179306736196.25,3.436641228795322e-05,-17179306736196.25,0.0
371080316057931.06,11337.88847222734,2.267584160294902,0.33861960301920835,4.662661341971126,-16861676963504.043,8.819984448427925e-05,-16861676963504.043,0.0
588793614107165.6,52363.58952650033,-2.067384501523767,-0.40250016633854724,1.487544244223216,-13211097516034.15,1.909723930562191e-05,-13211097516034.15,0.0
527636450808088.94,23285.843725640836,2.503698553315373,2.6693895825881935,3.6780747913844203,-12986444998045.414,4.294454655911816e-05,-12986444998045.414,0.0
960267322495560.1,22172.215290913755,-0.7811868099540691,0.693120759753211,1.0937086983980486,-11554600527071.98,4.5101492426554815e-05,-11554600527071.98,0.0
905852561526187.0,15588.810404045256,-2.3008972937267216,-1.0422031880857379,3.035083470508308,-8962558853128.375,6.414857670972197e-05,-8962558853128.375,0.0
352852009888983.8,41901.36118930736,2.696430162352687,-2.226014983254607,2.22214624752815,-8014318276832.6455,2.3865573139756056e-05,-8014318276832.6455,0.0
492560173355333.3,11610.83524935006,-1.5950576686271654,-1.6780019114029154,3.2764360972278492,-7863517679711.335,8.612644814502465e-05,-7863517679711.335,0.0
786273389991806.5,19607.47129181753,-0.26932752102390145,0.7723810442470231,0.7583290590373698,-7512310833985.752,5.10009671895963e-05,-7512310833985.752,0.0
698739641173130.5,68355.03966913918,-1.7109530542332654,-2.4332721830139894,1.6221539009965085,-6235611930959.228,1.4629499228413214e-05,-6235611930959.228,0.0
774963178739845.2,5536.859099505662,0.349591695863694,-1.2826366491820744,3.3314440322151966,-5424553611124.234,0.00018060781068032344,-5424553611124.234,0.0
603825887531394.2,17052.499266454786,2.343230990653254,-1.4182832212291436,2.2454902260095344,-3752349269336.4873,5.864243032078081e-05,-3752349269336.4873,0.0
785881964458206.6,9109.35923497773,1.9272070098740537,1.2037058016553086,2.568948978858363,-2986656510088.215,0.00010977720542316894,-2986656510088.215,0.0
722595156571201.4,563440.8585494561,0.2653788532123298,1.2047789905287951,0.3148088135749033,-1818257538161.165,1.7748091669357897e-06,-1818257538161.165,0.0
321316856649856.56,2428.7809688060247,0.6089022155633366,-0.7686077348961642,3.6632519712327483,-1739055098915.147,0.00041172918136753736,-1739055098915.1465,0.0
371504217821326.56,21811.765158290895,-1.704354610591077,0.572300338022393,1.1422447159560074,-1608697439130.2295,4.584681674323827e-05,-1608697439130.2295,0.0
715522880832386.8,3102.2379787406226,-1.3216802427613958,0.909629895363611,4.006898069299259,-1541087204885.166,0.00032234793296234915,-1541087204885.1658,0.0
419897544813932.5,4776.617182027002,-1.5198672136412559,2.3944693446363603,3.4906368972378576,-942788568094.7607,0.00020935318069324876,-942788568094.7605,0.0
549623742982409.3,7363.157453170277,-0.7914975534353133,-2.7690529399047916,2.602232786539333,-896697792885.4482,0.0001358113019276584,-896697792885.4481,0.0
926915021453229.6,2980.5998749086825,0.8836705025227394,-1.0542636870241822,2.2915971242269793,-829827118850.2526,0.00033550293295702864,-829827118850.2522,0.0
346627916903040.4,2104.251521796009,-1.166504592750173,1.2902332742649207,4.593455976901301,-768767301495.9548,0.0004752283601309012,-768767301495.9543,0.0
484716180056232.56,1423.7488902108212,0.27467069463909066,-0.06918685273102643,2.381837610264025,-761052705337.5332,0.0007023710479274632,-761052705337.5325,0.0
835216480663078.0,2923.4085014947245,-0.5823721934235175,-2.898760083741285,4.911340238896483,-731825241590.6223,0.0003420664609452305,-731825241590.622,0.0
698926929359943.8,75790.12753528438,0.7878702941708822,2.7542245698578096,1.1012965576047677,-711392978521.1758,1.3194330615724113e-05,-711392978521.1758,0.0
469021149823630.3,4314.830886959952,-2.972733848756344,1.1956377474500552,3.685081001793016,-609656864023.7168,0.0002317587933819945,-609656864023.7166,0.0
879406260062619.5,2461.4088931267524,-2.305638274896029,-0.6819916195987132,3.781479531317815,-436530408862.034,0.0004062713849759797,-436530408862.03357,0.0
415846521794610.6,2288.683436843955,-0.9451259338317839,-1.5072339517192759,2.4557115299323797,-299420710355.33606,0.00043693242320330775,-299420710355.33563,0.0
475111267594466.25,4282.841411796904,2.285944518788895,-1.3960751555010853,2.272664105652936,-284565588196.0685,0.00023348985027896597,-284565588196.06824,0.0
377712799013344.2,1067.3937181902534,1.682674394914173,0.7836038969560835,4.101070942798805,-167219424505.51123,0.0009368614251340243,-167219424505.51028,0.0
492158005324657.6,1013.6946068417548,1.8726825564143796,0.3111643183548045,4.085122966772664,-148076612876.06204,0.0009864904017962946,-148076612876.06107,0.0
605114451024097.0,827.5261877309622,-0.2935484542430902,-1.1793708035607005,3.6659563738384215,-146335522734.67584,0.0012084209718405655,-146335522734.67462,0.0
680183596444452.4,1787.1064715031164,1.9976428876162915,2.877359920126125,4.149753985529113,-125487711206.8065,0.0005595637506485766,-125487711206.80594,0.0
601443575807360.0,875.6245258684911,-0.6953203177632759,-1.7635771324335319,4.359664989171369,-114967454323.0453,0.001142042017392789,-114967454323.04416,0.0
730990483956479.4,792.6313234751807,-2.027430742756973,1.7938186897787585,3.968992106724759,-39383337298.5724,0.001261620592555849,-39383337298.571144,0.0
600942645552876.6,4104.991091527293,1.4906517789178464,0.07382105161155028,0.8033199774405114,-35107009745.088524,0.0002436058879812997,-35107009745.08828,0.0
965698694456276.8,1139.6084276503022,-2.4195541388178192,0.8057927669093568,2.7535470346576325,-34849068508.53447,0.0008774943881935189,-34849068508.53359,0.0
623940235965417.5,2492.551967989723,-2.707420913708642,2.0221420043961036,2.2656887705771394,-25239396702.031567,0.00040119524601547565,-25239396702.031166,0.0
769563972590611.2,4139.850923225495,-2.6034863676236526,-2.0837065023340138,1.8425482157070117,-23390626278.851597,0.0002415545918320765,-23390626278.851357,0.0
511504470919907.3,1149.5111633833908,-0.5790508304977129,-2.8275564164798928,2.506218239764128,-19359288249.437077,0.0008699350052929606,-19359288249.436207,0.0
375690654852486.06,320.69900495230456,-0.4962676878268848,-1.0202497822500525,3.073082995431045,-18975315692.961277,0.003118188658395049,-18975315692.95816,0.0
334024099252044.4,7336.777252407688,-2.641953422783015,-1.4670136351763716,1.3296547688750056,-16697046580.901546,0.00013629962660973493,-16697046580.901411,0.0
415089765592316.75,2145.685553930101,1.1106369127162248,1.3526927156387965,1.0245556093287944,-13484414847.663929,0.00046605151354705247,-13484414847.663464,0.0
877330927098673.9,311.45728462461994,-0.42894517405406596,-2.227002044589387,4.1318901076969095,-9879130114.322836,0.0032107131519032942,-9879130114.319626,0.0
641904835393322.0,339.0856427061401,-2.0701425801020554,-1.3810788064067854,4.189704347241377,-9646162644.61226,0.002949107464473666,-9646162644.609312,0.0
477293345599858.0,381.00259617729876,-0.011290838831014671,2.085639552282835,2.9359890080080326,-8769876831.695005,0.0026246540313217457,-8769876831.69238,0.0
420908550126253.0,1222.9899733243305,-2.298126326767971,-0.9581521487118305,1.8072174172083715,-8577862613.155415,0.0008176681917388956,-8577862613.154597,0.0
325050681170351.25,202.69338515830293,0.6023981630021864,1.1764232862633408,3.3268386025378884,-7020945661.117656,0.004933560112085684,-7020945661.112722,0.0
311926388294135.7,499.54974599974156,-1.4170379950433127,0.9015761213352578,1.7239669919748417,-6199951356.523471,0.002001802639295344,-6199951356.521469,0.0
602739134020805.0,143920.99956651844,-2.2850122758423446,-2.6463603188570897,0.7707007299520308,-3694163273.139043,6.948256357659545e-06,-3694163273.1390357,0.0
911079233791809.1,204.04853421281666,0.12278424013762113,2.0850009681779724,3.3577729900130397,-3371312588.667259,0.004900794822457549,-3371312588.6623583,0.0
407300251637675.7,298.8361792543985,-2.9176566097322403,-0.7367483568760393,3.433795893134061,-2817270425.5297217,0.0033463150362039538,-2817270425.5263753,0.0
388011800441711.44,312.6525063475944,0.6680139402687244,2.7307979275832466,2.9646004804706054,-2713440442.48898,0.0031984390967557006,-2713440442.485781,0.0
929853435054534.2,118.3227862035267,0.2520482753175255,1.8257604569421364,4.55182239699341,-2347719878.649265,0.008451457509460858,-2347719878.6408134,0.0
662044113278080.1,72.8824941179763,0.29783712385627936,-0.4790115496181775,4.046705377345025,-2230202317.6458287,0.013720715956583359,-2230202317.632108,0.0
