name,KIDS_ID,RAJ2000,DECJ2000,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0
galaxy_47.48206_-35.5065.fits.png,KiDSDR4 J030955.694-353023.41,47.482061,-35.506504,19.66,0.00582176,0.43,0.4,0.45,4.0,2.683,0.998,0.399,1.0
galaxy_338.79291_-28.3958.fits.png,KiDSDR4 J223510.297-282344.81,338.792908,-28.395781,17.8982,0.00288185,0.3,0.27,0.32,4.0,2.683,0.995,0.398,1.0
galaxy_348.14794_-34.4928.fits.png,KiDSDR4 J231235.504-342934.00,348.147937,-34.49278,19.0051,0.0046617,0.32,0.29,0.35,4.0,2.683,0.995,0.398,1.0
galaxy_45.58354_-27.8575.fits.png,KiDSDR4 J030220.048-275126.86,45.583537,-27.857462,19.2355,0.00430833,0.32,0.28,0.34,4.0,2.683,0.993,0.397,1.0
galaxy_42.76881_-29.9837.fits.png,KiDSDR4 J025104.514-295901.18,42.768811,-29.983662,20.2463,0.0122154,0.76,0.72,0.78,4.0,3.95,0.989,0.396,2.0
galaxy_347.6096_-33.7676.fits.png,KiDSDR4 J231026.303-334603.26,347.609599,-33.767574,19.3636,0.00562691,0.6,0.57,0.62,4.0,2.683,0.989,0.396,1.0
galaxy_30.90433_-30.7426.fits.png,KiDSDR4 J020337.040-304433.26,30.904335,-30.742574,19.9792,0.00832006,0.56,0.53,0.58,4.0,3.95,0.988,0.395,2.0
galaxy_19.58955_-27.7922.fits.png,KiDSDR4 J011821.491-274732.02,19.58955,-27.792229,18.7238,0.00404022,0.61,0.58,0.63,4.0,2.683,0.987,0.395,1.0
galaxy_4.6673_-32.7892.fits.png,KiDSDR4 J001840.152-324721.12,4.6673,-32.7892,19.4825,0.00323229,0.35,0.32,0.38,4.0,3.95,0.984,0.394,2.0
galaxy_190.75828_2.9038.fits.png,KiDSDR4 J124301.986+025413.54,190.758277,2.903763,17.3356,0.00159906,0.15,0.12,0.17,4.0,2.683,0.98,0.392,1.0
LRG_359.13703_-35.4103.fits.png,KiDSDR4 J235632.886-352437.00,359.137028,-35.410279,18.0534,0.0031267,0.3,0.27,0.32,4.0,2.683,0.974,0.39,1.0
LRG_18.07013_-34.4458.fits.png,KiDSDR4 J011216.830-342644.74,18.070127,-34.445762,17.699,0.00290864,0.38,0.35,0.4,4.8,2.857,0.81,0.389,1.0
LRG_49.33555_-26.6664.fits.png,KiDSDR4 J031720.531-263958.96,49.335549,-26.666379,18.4866,0.00341156,0.45,0.41,0.47,4.0,2.683,0.973,0.389,1.0
LRG_170.71118_1.856.fits.png,KiDSDR4 J112250.683+015121.75,170.711183,1.856042,17.942,0.00286724,0.42,0.39,0.44,4.0,2.683,0.968,0.387,1.0
LRG_358.34991_-31.7999.fits.png,KiDSDR4 J235323.978-314759.65,358.349912,-31.799905,17.9788,0.00243697,0.42,0.39,0.44,4.0,3.95,0.964,0.386,2.0
LRG_9.89149_-29.6421.fits.png,KiDSDR4 J003933.958-293831.46,9.891494,-29.642074,18.0543,0.00202918,0.31,0.28,0.33,4.8,2.857,0.802,0.385,1.0
galaxy_353.77456_-33.361.fits.png,KiDSDR4 J233505.895-332139.55,353.774563,-33.360988,18.3359,0.00309262,0.29,0.26,0.32,3.8,3.311,1.0,0.38,1.0
LRG_53.74703_-26.5754.fits.png,KiDSDR4 J033459.286-263431.59,53.747026,-26.575443,18.1446,0.00291037,0.42,0.39,0.45,3.8,1.6,0.996,0.378,0.0
galaxy_352.60945_-32.1523.fits.png,KiDSDR4 J233026.268-320908.31,352.609452,-32.15231,18.1495,0.00208688,0.25,0.22,0.27,3.8,3.311,0.984,0.374,1.0
LRG_17.97263_-31.7076.fits.png,KiDSDR4 J011153.430-314227.41,17.972626,-31.707614,18.8155,0.00507597,0.5,0.47,0.52,4.0,2.683,0.882,0.353,1.0
LRG_337.06158_-29.2632.fits.png,KiDSDR4 J222814.780-291547.55,337.061584,-29.263211,17.9639,0.0022689,0.32,0.29,0.34,4.2,3.429,0.836,0.351,2.0
LRG_131.8457_0.8238.fits.png,KiDSDR4 J084722.967+004925.69,131.845697,0.823804,18.4457,0.00244875,0.48,0.45,0.5,4.0,2.683,0.87,0.348,1.0
galaxy_7.41961_-29.7885.fits.png,KiDSDR4 J002940.706-294718.46,7.41961,-29.788463,18.731,0.00357918,0.58,0.52,0.6,3.4,3.137,1.0,0.34,2.0
galaxy_45.53904_-27.1693.fits.png,KiDSDR4 J030209.370-271009.35,45.539044,-27.169266,18.35,0.00234444,0.28,0.24,0.3,3.4,3.137,0.999,0.34,2.0
galaxy_8.31915_-34.1331.fits.png,KiDSDR4 J003316.596-340759.28,8.319154,-34.133134,19.6643,0.00645355,0.65,0.62,0.67,3.4,3.137,1.0,0.34,2.0
