,Unnamed: 0,name,KIDS_ID,RA,DEC,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0,GAMA_ID,Z,STELLAR_MASS,f_dm,theta_e_Ang_slide,D1,D2,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
3,3,LRG_129.73721_2.1475.fits.png,KiDSDR4 J083856.929+020851.17,129.73720600000001,2.14755,18.7011,0.00451473,0.43,0.39,0.45,4.6,1.96,0.972,0.447,0.0,417345,0.35989999771118164,283499986944.0,0.5988318956196921,1.6999645133789676,993.8410705190303,1987.682141038061,0.3599627614021301,12.264738082885742,40,0.02406165562570095,2.6641788482666016,47,2.6529014110565186,2.6529014110565186,1.0042510032653809,1.0,42.2595100402832,ELG + PG
5,5,LRG_131.14293_2.4684.fits.png,KiDSDR4 J084434.304+022806.23,131.142934,2.4684,18.8483,0.00422282,0.4,0.37,0.43,3.2,3.655,0.765,0.245,2.0,517175,0.33550000190734863,181399994368.0,0.5736228450012466,1.3499517631262463,948.8047391623123,1897.6094783246247,0.3355447649955749,11.455703735351562,40,0.23172198235988614,2.928270101547241,44,2.7642416954040527,2.7642416954040527,1.05933940410614,1.0,40.81806182861328,ELG + PG
10,10,galaxy_182.57383_-2.5036.fits.png,KiDSDR4 J121017.719-023013.12,182.573831,-2.503647,19.1443,0.00510212,0.47,0.43,0.49,4.8,2.8569999999999998,0.9890000000000001,0.475,1.0,125108,0.3397000133991241,91320000512.0,0.5348735676829081,0.9132457027037536,956.7304897273947,1913.4609794547891,0.3396837115287781,7.7824907302856445,40,0.2633907794952393,4.125181198120116,47,3.0131850242614746,3.0131850242614746,1.369043469429016,0.9998441338539124,52.29212951660156,ELG + PG
11,11,LRG_176.17205_0.5021.fits.png,KiDSDR4 J114441.292+003007.45,176.172051,0.502071,19.1674,0.00626357,0.43,0.39,0.45,4.6,3.4989999999999997,0.978,0.45,1.0,84149,0.36980000138282776,285199990784.0,0.5991694359289753,1.6908707424731269,1011.4347312018477,2022.8694624036955,0.3697383999824524,11.183111190795898,40,0.09233283251523973,3.001732587814331,45,2.825566291809082,2.825566291809082,1.0623472929000854,1.0,46.34942245483398,ELG + PG
17,17,LRG_183.09899_-1.551.fits.png,KiDSDR4 J121223.757-013303.65,183.09899099999998,-1.551014,19.8398,0.00613844,0.49,0.46,0.51,1.4,2.8,0.833,0.11699999999999999,4.0,186111,0.4038999974727631,330599989248.0,0.6075093685644307,1.789352606402848,1069.182112002802,2138.364224005604,0.4039213359355927,8.849190711975098,40,0.05807754397392272,3.1921052932739262,47,3.109971046447754,3.109971046447754,1.0264099836349487,0.9999991655349731,53.550071716308594,ELG + PG
18,18,LRG_223.35741_-0.5588.fits.png,KiDSDR4 J145325.778-003331.75,223.35741099999998,-0.558822,19.2185,0.010251600000000001,0.59,0.55,0.61,6.2,1.6,0.956,0.593,0.0,570355,0.4336999952793121,232999993344.0,0.5877562681205656,1.43453632539002,1116.217307285268,2232.434614570536,0.4337136149406433,7.2731685638427725,40,0.15707561373710632,3.2812533378601074,47,3.1969819068908687,3.1969819068908687,1.0263596773147583,0.9998579025268556,61.71015548706055,ELG + PG
19,19,LRG_214.80776_2.9432.fits.png,KiDSDR4 J141913.862+025635.41,214.80776200000003,2.9431700000000003,18.8583,0.00511427,0.42,0.39,0.44,6.2,1.6,0.91,0.564,0.0,265719,0.27790001034736633,131100000256.0,0.5552883500299575,1.1997543025202193,832.3568502068051,1664.7137004136102,0.2779090702533722,9.345833778381348,40,0.018718119710683826,3.6691591739654537,46,3.38425612449646,3.38425612449646,1.0841848850250244,0.9999959468841552,50.017333984375,ELG + PG
23,23,LRG_219.72264_0.5025.fits.png,KiDSDR4 J143853.432+003009.14,219.722636,0.5025390000000001,18.3223,0.00328325,0.39,0.34,0.41,3.4,3.137,0.995,0.33799999999999997,2.0,93270,0.2793000042438507,137500000256.0,0.5579793508667317,1.2302022566908608,835.3665989273637,1670.7331978547275,0.279499351978302,12.454071044921875,40,0.03179396316409111,3.3772029876708984,47,3.3476803302764893,3.3476803302764893,1.0088188648223877,1.0,39.41238403320313,ELG + PG
28,28,LRG_216.3946_2.5116.fits.png,KiDSDR4 J142534.703+023041.84,216.394596,2.511625,18.4645,0.00436091,0.37,0.34,0.39,1.8,1.47,0.904,0.163,2.0,261815,0.29679998755455017,117500002304.0,0.549104923766071,1.1019330145093291,872.211877982291,1744.423755964582,0.2967331111431122,8.37186336517334,40,0.03537051752209664,3.800427675247192,47,3.0415501594543457,3.0415501594543457,1.249503493309021,0.9999871253967284,48.74389266967773,ELG + PG
34,34,LRG_214.50005_2.6637.fits.png,KiDSDR4 J141800.011+023949.18,214.500046,2.663662,18.9243,0.00511382,0.47,0.44,0.49,1.2,1.47,0.774,0.09300000000000001,3.0,362314,0.3671999871730805,244599996416.0,0.5904993380237801,1.5527561908189211,1006.8512269269162,2013.7024538538324,0.3671078085899353,9.07479763031006,40,0.02944069541990757,3.839916706085205,47,3.7902138233184814,3.7902138233184814,1.013113498687744,0.9999405741691588,52.50530624389648,ELG + PG
36,36,LRG_215.69831_0.9496.fits.png,KiDSDR4 J142247.593+005658.56,215.698306,0.949601,18.9866,0.00538038,0.47,0.44,0.49,0.6,1.2,0.775,0.046,4.0,106370,0.3842000067234039,281200001024.0,0.5983719913308071,1.6570184197141342,1036.3504922692332,2072.7009845384664,0.3845823705196381,10.524534225463867,40,0.03009658306837082,2.857671022415161,46,2.8366329669952397,2.8366329669952397,1.007416605949402,1.0,46.25668334960938,ELG + PG
0,0,LRG_129.88905_-1.6791.fits.png,KiDSDR4 J083933.372-014044.81,129.889052,-1.6791150000000001,17.1726,0.0026547,0.62,0.58,0.64,9.4,1.2,1.0,0.94,0.0,3853225,0.2700000107288361,886799990784.0,0.6632173383907803,3.6231947628131747,815.1970503083064,1630.3941006166128,0.2699576318264008,9.367972373962402,40,0.7084037661552429,3.713986873626709,42,3.207233428955078,3.207233428955078,1.158003330230713,0.9999976158142091,52.51911544799805,ELG + ELG
8,8,galaxy_183.30933_-0.243.fits.png,KiDSDR4 J121314.238-001434.63,183.309326,-0.2429530000000001,18.5808,0.00328026,0.46,0.42,0.48,5.4,1.96,0.982,0.53,0.0,55728,0.2915000021457672,131200000000.0,0.5553313985551535,1.1799968443626,861.2032956319678,1722.4065912639355,0.291467547416687,11.275955200195312,44,0.26211032271385193,5.176180839538574,47,4.2428550720214835,4.2428550720214835,1.219975829124451,0.9999717473983764,28.58293914794922,PG + PG
9,9,galaxy_182.57383_-2.5036.fits.png,KiDSDR4 J121017.719-023013.12,182.573831,-2.503647,19.1443,0.00510212,0.47,0.43,0.49,4.8,2.8569999999999998,0.9890000000000001,0.475,1.0,125108,0.3397000133991241,91320000512.0,0.5348735676829081,0.9132457027037536,956.7304897273947,1913.4609794547891,0.3738965392112732,4.141843318939209,47,0.047825220972299576,3.8881218433380127,44,3.7147245407104488,3.7147245407104488,1.0466784238815308,0.3729795515537262,51.58148574829102,PG + PG
14,14,galaxy_178.56122_-0.7891.fits.png,KiDSDR4 J115414.693-004720.92,178.561221,-0.789145,19.0313,0.00580331,0.44,0.41,0.59,2.6,2.577,1.0,0.26,2.0,39881,0.4499000012874603,284699983872.0,0.5990703675307929,1.5907174774675732,1140.5207354941215,2281.0414709882434,0.4499274492263794,10.597881317138672,45,0.07998475432395935,6.895601272583008,47,4.282877445220946,4.282877445220946,1.6100393533706665,0.9993909597396852,36.62166976928711,PG + PG
15,15,galaxy_181.70132_0.3493.fits.png,KiDSDR4 J120648.317+002057.37,181.701323,0.34926999999999997,18.6827,0.00399907,0.45,0.42,0.48,2.0,2.7569999999999997,0.9990000000000001,0.2,3.0,610781,0.4142000079154968,210200002560.0,0.5819422532075875,1.3718619908420906,1085.789402681987,2171.578805363974,0.4142266511917114,9.662622451782227,45,0.05227838456630707,3.163794994354248,47,3.0686016082763667,3.0686016082763667,1.0310217142105105,0.9999998807907104,32.12868118286133,PG + PG
16,16,galaxy_182.60462_-2.1557.fits.png,KiDSDR4 J121025.108-020920.52,182.60461899999999,-2.1557020000000002,18.2683,0.00297125,0.35,0.32,0.37,1.2,1.47,0.995,0.11900000000000001,3.0,131807,0.3221000134944916,79880003584.0,0.5273169498389572,0.8626072706436941,923.0215102104497,1846.043020420899,0.3220635950565338,13.046506881713867,46,0.7389225959777832,4.446541786193848,45,4.172426700592041,4.172426700592041,1.0656968355178833,0.9999997615814208,26.29578399658203,PG + PG
20,20,galaxy_219.72969_-0.5973.fits.png,KiDSDR4 J143855.125-003550.15,219.72968999999998,-0.597266,18.2356,0.0034341999999999997,0.39,0.36,0.41,4.6,1.96,0.998,0.45899999999999996,0.0,569641,0.3596999943256378,169800007680.0,0.5698919017216215,1.2708231452774876,993.4816690189017,1986.9633380378039,0.3597139120101929,11.78101634979248,47,0.8263645172119141,6.681199073791504,45,5.561294555664063,5.561294555664063,1.2013747692108154,0.9965854287147522,31.87882995605469,PG + PG
24,24,LRG_215.88388_-0.521.fits.png,KiDSDR4 J142332.130-003115.73,215.883879,-0.521038,19.3595,0.00970765,0.49,0.46,0.51,4.0,3.95,0.8079999999999999,0.32299999999999995,2.0,568653,0.3628999888896942,147999997952.0,0.5621340222200839,1.1725090712799011,999.2130310491581,1998.4260620983162,0.3628639876842499,8.556447982788086,45,0.015623374842107298,3.434375286102295,46,3.394169569015503,3.394169569015503,1.0118454694747925,0.9999906420707704,47.94845962524414,PG + PG
26,26,galaxy_218.32657_0.7956.fits.png,KiDSDR4 J143318.377+004744.04,218.326573,0.795567,19.4823,0.00752545,0.61,0.57,0.63,2.4,1.2,0.996,0.239,1.0,16353,0.3555000126361847,107300003840.0,0.543977965876075,0.9848634688616208,985.8977082938617,1971.7954165877234,0.35552048683166504,12.42818832397461,47,0.8206266164779663,7.4466447830200195,45,6.415477275848389,6.415477275848389,1.1607311964035034,0.9949715733528136,28.83286476135254,PG + PG
27,27,galaxy_215.90358_1.4075.fits.png,KiDSDR4 J142336.859+012427.08,215.903581,1.4075229999999999,18.7758,0.00471392,0.63,0.59,0.65,2.0,2.7569999999999997,0.992,0.198,3.0,297460,0.3285000026226044,117100003328.0,0.5489123979639603,1.0620064087421617,935.4309732840325,1870.861946568065,0.3285200893878937,14.532181739807127,46,0.2983899414539337,5.48946475982666,47,4.3951125144958505,4.3951125144958505,1.2489930391311646,0.9999997615814208,26.391441345214844,PG + PG
29,29,galaxy_215.70142_1.33.fits.png,KiDSDR4 J142248.341+011947.89,215.701423,1.329972,19.2113,0.00582994,0.43,0.39,0.45,1.2,1.47,0.9940000000000001,0.11900000000000001,3.0,297426,0.3027999997138977,23970000896.0,0.4593568465347889,0.451346317529416,884.5197613771028,1769.0395227542053,0.3026138246059418,4.845489501953125,44,0.07208864390850067,4.730790138244629,47,4.150188446044922,4.150188446044922,1.139897704124451,0.4809089004993439,46.27493286132813,PG + PG
31,31,galaxy_215.70142_1.33.fits.png,KiDSDR4 J142248.341+011947.89,215.701423,1.329972,19.2113,0.00582994,0.43,0.39,0.45,1.2,1.47,0.9940000000000001,0.11900000000000001,3.0,297426,0.3027999997138977,23970000896.0,0.4593568465347889,0.451346317529416,884.5197613771028,1769.0395227542053,0.3028154373168945,9.226710319519043,44,0.2741542756557465,4.116858005523682,47,3.43257999420166,3.43257999420166,1.199347972869873,0.9999775290489196,33.599742889404304,PG + PG
33,33,LRG_214.50005_2.6637.fits.png,KiDSDR4 J141800.011+023949.18,214.500046,2.663662,18.9243,0.00511382,0.47,0.44,0.49,1.2,1.47,0.774,0.09300000000000001,3.0,362314,0.3671999871730805,244599996416.0,0.5904993380237801,1.5527561908189211,1006.8512269269162,2013.7024538538324,0.3833807110786438,7.613278865814209,47,0.8580362200737,6.4539289474487305,45,5.458367824554443,5.458367824554443,1.1823917627334597,0.7557533979415894,34.40158843994141,PG + PG
35,35,galaxy_215.7348_-0.0797.fits.png,KiDSDR4 J142256.351-000446.85,215.734799,-0.079683,18.8298,0.00534349,0.59,0.56,0.62,0.6,1.2,0.9990000000000001,0.06,4.0,593173,0.3411000072956085,135999995904.0,0.5573600563877377,1.1408780468625084,959.3561213296828,1918.7122426593653,0.341130793094635,14.14515495300293,44,0.31051531434059143,6.208802700042725,47,5.784360408782959,5.784360408782959,1.0733776092529297,0.999952793121338,26.05483627319336,PG + PG
