,DEC,GAMA_ID,ID,KIDS_ID,P1,P3,R,RA,Unnamed: 0_x,Unnamed: 0_y,cnn_probability,corrected_stellar_mass,dlens,dsource,error,lambdar_log_mstar,lambdar_log_mstar_error,lambdar_mstar,mag,mag_err,name,normalized_score,num_0,prob,probability,rms,s*p/10,score,sigma1,sigma2,sigma3,sigma4,sigma_lens,sigma_source,template1,template2,type,type_number,z,z1,z2,z_max,z_min,zlens,zphot,zsource
21,-1.38407,145203.0,1939.0,,0.843,,1.3904335498809814,183.3706,217,74128.0,0.843,21931640604.451317,259.5377575376944,955.2029013147817,71.33643341064453,11.472861,0.106158,297071700000.0,,,,0.11428571428571428,,0.993988275527954,,,,8.0,7.433445453643799,5.039492130279541,3.624403476715088,3.624403476715088,5.039492130279541,7.433445453643799,40.0,46.0,ELG + PG,2,0.33889,0.338887482881546,0.06927647441625595,,,0.06927647441625595,,0.338887482881546
22,0.33915,611334.0,1517.0,,0.855,0.96,1.2440340518951416,184.42766,256,74991.0,0.96,122564212557.55482,523.2925594688895,894.7229183226787,44.19900512695313,11.554252,0.11497575,358304020000.0,,,,0.05714285714285714,,0.9999997615814208,,,,4.0,10.453988075256348,4.0269556045532235,3.237013816833496,3.237013816833496,4.0269556045532235,10.453988075256348,40.0,46.0,ELG + PG,2,0.3079,0.3078350126743317,0.1533661186695099,,,0.1533661186695099,,0.3078350126743317
23,-1.43842,184530.0,2250.0,,0.997,,2.329209089279175,176.70961,302,67459.0,0.997,141367661905.26288,531.9758837655181,1047.2610370108846,47.6322135925293,11.738676,0.10859871,547868180000.0,,,,0.05714285714285714,,0.9605602025985718,,,,4.0,10.292731285095217,9.673656463623047,4.153193473815918,4.153193473815918,9.673656463623047,10.292731285095217,40.0,45.0,ELG + PG,2,0.39032,0.3906523585319519,0.15642881393432614,,,0.15642881393432614,,0.3906523585319519
24,2.31397,262836.0,1953.0,,0.975,0.826,1.3478573560714722,221.40536,355,159401.0,0.975,94766656928.67647,497.1459571452978,1092.3985649316778,45.51397323608398,11.66045,0.11519885,457562030000.0,,,,0.05714285714285714,,0.9999998807907104,,,,4.0,10.22627067565918,3.8695743083953857,2.8709077835083012,2.8709077835083012,3.8695743083953857,10.22627067565918,42.0,47.0,ELG + PG,2,0.41836,0.418364942073822,0.14427031576633453,,,0.14427031576633453,,0.418364942073822
25,1.9696,318892.0,985.0,,0.82,,1.5036048889160156,212.77747,415,123870.0,0.82,24326326974.4492,267.04877850031374,1123.238882933938,44.22132873535156,11.63384,0.12090432,430367640000.0,,,,0.05714285714285714,,0.9999982714653016,,,,4.0,10.446876525878906,4.82208776473999,3.2070178985595703,3.2070178985595703,4.82208776473999,10.446876525878906,42.0,47.0,ELG + PG,2,0.43832,0.4383212924003601,0.07145899534225464,,,0.07145899534225464,,0.4383212924003601
26,-0.97487,3629152.0,1933.0,,,0.883,1.2182693481445312,135.88863999999998,4,54429.0,0.883,427055775744.0,1073.6094960877542,1489.6837996994072,87.77485656738281,11.630485,0.11205658,427055780000.0,,,,0.37142857142857144,,0.7928287386894226,,,,26.0,4.3280086517333975,3.691353082656861,3.0299975872039795,3.0299975872039795,4.3280086517333975,3.691353082656861,40.0,40.0,ELG + ELG,3,0.4059,0.4066231548786163,0.7871177792549133,,,0.4066231548786163,,0.7871177792549133
27,-1.54519,3891172.0,3056.0,,0.9059999999999999,0.807,1.461408019065857,139.22725,15,60082.0,0.9059999999999999,264265203712.0,956.3858672293254,1338.1887783858308,50.43042755126953,11.42204,0.11927549,264265200000.0,,,,0.22857142857142856,,0.9999913573265076,,,,16.0,8.936283111572266,4.309550285339356,2.9489028453826904,2.9489028453826904,8.936283111572266,4.309550285339356,40.0,40.0,ELG + ELG,3,0.33952,0.3395165801048279,0.609051525592804,,,0.3395165801048279,,0.609051525592804
28,-0.8302200000000001,3896212.0,1483.0,,0.997,0.9590000000000001,1.4343069791793823,129.80597,45,37896.0,0.997,597224128512.0,1030.3402204415704,1528.3771389739725,51.45428466796875,11.776137,0.10063938,597224100000.0,,,,0.11428571428571428,,0.9999988079071044,,,,8.0,9.616504669189453,4.122061252593993,2.8739044666290283,2.8739044666290283,9.616504669189453,4.122061252593993,40.0,42.0,ELG + ELG,3,0.38068,0.38068437576293945,0.8475534915924072,,,0.38068437576293945,,0.8475534915924072
29,2.2238900000000004,262874.0,26.0,,,0.986,1.2169698476791382,221.61067000000003,329,139125.0,0.986,178664783872.0,1038.6988013332705,1535.04876816321,65.07320404052734,11.252039,0.12878208,178664780000.0,,,,0.17142857142857143,,0.9991628527641296,,,,12.0,6.221604347229004,3.421708345413208,2.8116624355316158,2.8116624355316158,6.221604347229004,3.421708345413208,40.0,41.0,ELG + ELG,3,0.38552,0.3855810463428497,0.8589239716529846,,,0.3855810463428497,,0.8589239716529846
30,1.55536,296451.0,2635.0,,0.968,0.975,1.4160183668136597,211.85399,343,165925.0,0.975,727518543872.0,1132.5678293028868,1546.2065547277614,49.97542190551758,11.861844,0.078381814,727518540000.0,,,,0.11428571428571428,,0.9999939203262328,,,,8.0,9.042179107666016,4.203336715698241,2.968419551849365,2.968419551849365,9.042179107666016,4.203336715698241,40.0,42.0,ELG + ELG,3,0.44453,0.44453489780426025,0.8786750435829163,,,0.44453489780426025,,0.8786750435829163
