,Unnamed: 0,Unnamed: 0_x,GAMA_ID,ID,RA_x,DEC_x,score,Unnamed: 0_y,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type,type_number,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,z,zlens,zsource,sigma_lens,sigma_source,dlens,dsource,corrected_stellar_mass,P1,P3,normalized_score,cnn_probability,m_half_re,sigma_star,theta_e_pm,theta_e_sis,KIDS_ID,mag,mag_err,name,num_0,probability,rms,s*p/10,z_max,z_min,zphot,RA_y,DEC_y,Z,Rpetro,DM_100_25_75,SURVEY_CODE,SigErr,GroupID,RankIterCen,SepIterCen,CoSepIterCen,AngSepIterCen,RankBCG,SepBCG,CoSepBCG,AngSepBCG,RankCen,SepCen,CoSepCen,AngSepCen
10,10,244,272448.0,2541.0,179.41953,1.42309,4.0,70542.0,0.2717644274234772,11.36670207977295,40.0,0.8888060450553894,4.819479465484619,43.0,3.290292501449585,3.290292501449585,1.464757204055786,0.9999996423721312,41.047550201416016,PG + ELG,1,11.553217,357451330000.0,0.10896457,0.27163000000000004,0.2717644274234772,0.8888060450553894,11.36670207977295,4.819479465484619,819.0556940040425,1551.7230385762591,357451333632.0,,0.912,0.057142857142857134,0.912,304028160000.0,271.8904509408931,1.1935661656106331,1.008915161814452,,,,,,,,,,,,179.419517,1.42310206,0.273147,18.668146,39.968945,1.0,14.587099,201271.0,3.0,149.37138,0.56333536,0.44200554,3.0,149.37138,0.56333536,0.44200554,3.0,107.526505,0.40552264,0.31818217
11,11,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,94759.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG,1,11.285226,192852750000.0,0.11088524,0.22704000000000002,0.22704437375068665,0.6498237252235413,9.393048286437988,7.239895820617676,716.4341659211937,1378.5027482374978,192852754432.0,0.988,,0.2571428571428571,0.988,140580470000.0,228.60644112931496,0.8752296543885133,0.7255149738413441,,,,,,,,,,,,214.42335441,-0.89247615,0.22807588,18.343842,39.5204,5.0,45.355965,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
12,12,348,62734.0,539.0,213.56206,-0.24168,8.0,92873.0,0.27416789531707764,11.88359546661377,40.0,0.5974463224411011,3.756571292877197,45.0,2.5358855724334717,2.5358855724334717,1.4813647270202637,1.0,40.7535400390625,PG + ELG,1,11.506654,321109950000.0,0.11141836,0.27416999999999997,0.27416789531707764,0.5974463224411011,11.88359546661377,3.756571292877197,824.2876657263043,1326.0213113706118,321109950464.0,0.812,,0.11428571428571427,0.812,265894820000.0,263.82120981148887,0.9960402759020194,0.7612306179225925,,,,,,,,,,,,213.5620656,-0.2416246,0.27526036,18.316183,39.988274,5.0,40.75354,303503.0,2.0,269.81204,1.0203569,0.8000911,2.0,269.81204,1.0203569,0.8000911,2.0,216.92125,0.820338,0.6432506
13,13,358,513159.0,2123.0,221.91681,-0.9994200000000001,4.0,101949.0,0.28945088386535645,9.708475112915039,40.0,0.7014451026916504,3.312683582305908,44.0,2.6681785583496094,2.6681785583496094,1.241552472114563,0.9999999403953552,40.63710021972656,PG + ELG,1,11.24318,175057320000.0,0.117320195,0.28945,0.28945088386535645,0.7014451026916504,9.708475112915039,3.312683582305908,856.9123588679263,1424.4773439052576,175057321984.0,,0.862,0.057142857142857134,0.862,124556970000.0,222.4711290025322,0.6861132948781913,0.5700086909582459,,,,,,,,,,,,221.91681452,-0.99946611,0.29038075,19.047604,40.12274,5.0,40.6371,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
14,14,364,593219.0,457.0,215.79222000000001,-0.09455,4.0,96804.0,0.4010081887245178,11.679271697998047,40.0,0.8600229024887085,3.8478670120239262,45.0,2.805649518966675,2.805649518966675,1.3714710474014282,1.0,41.26661682128906,PG + ELG,1,11.6236515,420389160000.0,0.10918899,0.40107,0.4010081887245178,0.8600229024887085,11.679271697998047,3.8478670120239262,1064.4513822640058,1535.6838374365786,420389158912.0,,0.895,0.057142857142857134,0.895,372354900000.0,284.56800794081227,0.9340762214949082,0.7182566232302335,,,,,,,,,,,,215.7922265,-0.09460756,0.40221992,19.079947,40.955864,1.0,18.336985,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
15,15,374,617569.0,1418.0,212.16078,0.2401,4.0,90610.0,0.31386977434158325,9.380717277526855,40.0,0.727821946144104,3.4270968437194824,43.0,2.5917186737060547,2.5917186737060547,1.3223259449005127,0.9999999403953552,49.87385177612305,PG + ELG,1,11.508179,322239460000.0,0.10731004,0.31382,0.31386977434158325,0.727821946144104,9.380717277526855,3.4270968437194824,906.8034108997523,1445.9520399680828,322239463424.0,,0.964,0.057142857142857134,0.964,267064460000.0,264.08164823204703,0.9447758513277134,0.7516318457131471,,,,,,,,,,,,212.16075462,0.2400953,0.31497023,18.633877,40.328365,1.0,17.521614,307819.0,1.0,0.004346706,1.8738583e-05,1.4231185e-05,1.0,0.004346706,1.8738583e-05,1.4231185e-05,1.0,24.700909,0.10648524,0.08087117
16,16,394,342310.0,2163.0,215.08101000000002,2.1713400000000003,4.0,130224.0,0.3797509968280792,9.367025375366213,40.0,0.6925411820411682,3.493913173675537,43.0,2.644425630569458,2.644425630569458,1.3212370872497559,0.9999998807907104,47.35982131958008,PG + ELG,1,11.405825,254580230000.0,0.15161027,0.38003000000000003,0.3797509968280792,0.6925411820411682,9.367025375366213,3.493913173675537,1028.736699355924,1416.9291046471408,254580228096.0,0.903,,0.057142857142857134,0.903,198917750000.0,247.15917256707374,0.6561968028084258,0.4837561399221834,,,,,,,,,,,,215.08097055,2.17139457,0.38116884,18.97834,40.81676,1.0,15.327434,300672.0,4.0,195.00293,1.0175902,0.7321927,4.0,195.00293,1.0175902,0.7321927,4.0,123.13169,0.64254206,0.46233213
17,17,419,250289.0,2730.0,214.36708,1.99311,28.0,93879.0,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711,PG + ELG,1,11.668818,466464370000.0,0.100728765,0.40089,0.4012139439582825,0.7196155786514282,8.795989036560059,4.5154995918273935,1064.788974686647,1439.410257048191,466464374784.0,0.999,1.0,0.4,1.0,424048720000.0,293.0069981823413,0.9178675855193126,0.6458593497138776,,,,,,,,,,,,214.36705913,1.99311093,0.40206236,18.974998,40.954845,1.0,18.001783,304825.0,1.0,0.004346706,2.3306158e-05,1.6628406e-05,1.0,0.004346706,2.3306158e-05,1.6628406e-05,1.0,6.0489607,0.032433305,0.023140416
18,18,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,38855.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.5786019563674933,0.9894577264785768,29.41335868835449,PG + ELG,1,,,,,0.35328593850135803,0.7215898633003235,7.519263744354247,11.317520141601562,981.8713916743383,1440.9954268947367,,1.0,1.0,0.42857142857142855,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,5,3575500.0,1906.0,129.23265,-1.57512,26.0,57129.0,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.999701738357544,57.59304809570313,ELG + PG,2,11.76089,576620400000.0,0.12145566,0.36519,0.23253659904003146,0.3651945888996124,4.330916404724121,8.068477630615233,729.5945038881138,1003.2979867788337,304925136111.0143,0.929,,0.37142857142857133,0.929,552720000000.0,310.99262500100554,1.296095513586056,0.7626489468633338,,,,,,,,,,,,129.23264141,-1.57515102,0.3664953,18.352379,40.715588,5.0,57.59305,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
20,20,113,345595.0,3294.0,130.02208000000002,1.9054099999999998,4.0,55015.0,0.35989525914192205,7.3161258697509775,40.0,0.08408384025096892,3.7349147796630864,47.0,2.932336807250977,2.932336807250977,1.273699164390564,0.9998680949211121,71.43119812011719,ELG + PG,2,11.557787,361232600000.0,0.13262962,0.35945,0.08408384025096892,0.35989525914192205,3.7349147796630864,7.3161258697509775,309.7579803458986,993.8325572496904,35091788381.98966,0.929,,0.057142857142857134,0.929,308053640000.0,283.95634110863534,2.3588321324157078,1.6042331456389531,,,,,,,,,,,,130.02205098,1.90541082,0.360751,18.29811,40.674973,5.0,72.806694,104184.0,1.0,0.0030735852,1.4903334e-05,1.096067e-05,1.0,0.0030735852,1.4903334e-05,1.096067e-05,1.0,38.303078,0.18572563,0.13659209
21,21,217,145203.0,1939.0,183.3706,-1.3840700000000001,8.0,74128.0,0.338887482881546,7.433445453643799,40.0,0.06927647441625595,5.039492130279541,46.0,3.624403476715088,3.624403476715088,1.3904335498809814,0.9939882755279541,71.33643341064453,ELG + PG,2,11.472861,297071700000.0,0.10615799999999999,0.33889,0.06927647441625595,0.338887482881546,5.039492130279541,7.433445453643799,259.5377575376944,955.2029013147817,21931640604.45132,0.843,,0.11428571428571427,0.843,241251100000.0,268.1441694688553,2.345776810246116,1.5136150540854116,,,,,,,,,,,,183.37055239,-1.38411036,0.34047118,18.97801,40.526695,5.0,71.33643,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
22,22,256,611334.0,1517.0,184.42766,0.33915,4.0,74991.0,0.3078350126743317,10.453988075256348,40.0,0.1533661186695099,4.026955604553224,46.0,3.237013816833496,3.237013816833496,1.2440340518951416,0.9999997615814208,44.19900512695313,ELG + PG,2,11.554252,358304020000.0,0.11497575,0.3079,0.1533661186695099,0.3078350126743317,4.026955604553224,10.453988075256348,523.2925594688895,894.7229183226787,122564212557.55482,0.855,0.96,0.057142857142857134,0.96,304935000000.0,283.27988886087417,1.4022510792512477,0.9629293723862145,,,,,,,,,,,,184.42760117,0.33911521,0.30943087,18.409649,40.28335,1.0,17.339882,200540.0,1.0,0.0,0.0,0.0,3.0,82.11726,0.34632173,0.26450083,1.0,2.8486614,0.012013958,0.009175577
23,23,302,184530.0,2250.0,176.70961,-1.43842,4.0,67459.0,0.3906523585319519,10.292731285095217,40.0,0.15642881393432614,9.673656463623047,45.0,4.153193473815918,4.153193473815918,2.329209089279175,0.9605602025985718,47.6322135925293,ELG + PG,2,11.738676,547868180000.0,0.10859871,0.39032,0.15642881393432614,0.3906523585319519,9.673656463623047,10.292731285095217,531.9758837655181,1047.2610370108846,141367661905.26288,0.997,,0.057142857142857134,0.997,518486900000.0,320.8130977632076,1.9743277820559904,1.463763712590762,,,,,,,,,,,,176.70955678,-1.43848872,0.39200333,18.554363,40.889206,1.0,15.833001,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
24,24,355,262836.0,1953.0,221.40536,2.31397,4.0,159401.0,0.418364942073822,10.22627067565918,42.0,0.14427031576633453,3.8695743083953857,47.0,2.870907783508301,2.870907783508301,1.3478573560714722,0.9999998807907104,45.51397323608398,ELG + PG,2,11.66045,457562030000.0,0.11519885,0.41836,0.14427031576633453,0.418364942073822,3.8695743083953857,10.22627067565918,497.14595714529776,1092.3985649316778,94766656928.67647,0.975,0.826,0.057142857142857134,0.975,413956930000.0,304.3209448192132,1.9204177722358584,1.4586731353458249,,,,,,,,,,,,221.40535761,2.31386206,0.419383,19.037022,41.064426,5.0,45.513973,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
25,25,415,318892.0,985.0,212.77747000000002,1.9696,4.0,123870.0,0.4383212924003601,10.446876525878906,42.0,0.07145899534225464,4.82208776473999,47.0,3.2070178985595703,3.2070178985595703,1.5036048889160156,0.9999982714653016,44.22132873535156,ELG + PG,2,11.63384,430367640000.0,0.12090432,0.43832,0.07145899534225464,0.4383212924003601,4.82208776473999,10.446876525878906,267.04877850031374,1123.238882933938,24326326974.4492,0.82,,0.057142857142857134,0.82,383435400000.0,298.9062558807885,2.982633193467828,1.9685307169186481,,,,,,,,,,,,212.77740567,1.96969908,0.4395586,19.272856,41.18696,5.0,44.22133,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
26,26,57,3886216.0,1340.0,136.0962,-1.58451,8.0,56215.0,0.4041702151298523,8.735891342163086,45.0,0.8859135508537292,5.979778289794923,45.0,4.591189384460449,4.591189384460449,1.3024464845657349,0.9877343773841858,40.514793395996094,ELG + ELG,3,11.71675,520894940000.0,0.11510155,0.40417,0.4041702151298523,0.8859135508537292,8.735891342163086,5.979778289794923,1069.6226263754472,1550.162079850647,520894939136.0,0.843,,0.11428571428571427,0.843,486777320000.0,302.23641470709737,1.0708431161589398,0.8185017838898383,,,,,,,,,,,,136.09618166,-1.58451877,0.4056313,18.832827,40.977776,5.0,40.514793,102737.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.4929895,0.029721247,0.021144412
27,27,171,138582.0,2828.0,183.14009,-1.827,14.0,74160.0,0.3251754939556122,9.727863311767578,44.0,0.4326481819152832,4.904556751251222,47.0,3.701861619949341,3.701861619949341,1.3248893022537231,0.999946653842926,35.33502578735352,ELG + ELG,3,11.563930000000001,366378160000.0,0.12026352,0.32537,0.3251754939556122,0.4326481819152832,9.727863311767578,4.904556751251222,929.0066841395261,1114.6091773191806,366378156032.0,0.975,0.986,0.2,0.986,313548440000.0,273.7815701625801,0.6758860736892519,0.3607810536001795,,,,,,,,,,,,183.13992733,-1.826983,0.32693827,18.391932,40.4232,1.0,12.75037,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
28,28,384,238892.0,1924.0,215.56828,1.56082,4.0,96169.0,0.3051163554191589,11.378454208374025,44.0,0.7162910103797913,3.843106746673584,45.0,2.9842140674591064,2.9842140674591064,1.2878119945526123,1.0,37.94549179077149,ELG + ELG,3,11.486208,306343000000.0,0.09525592599999999,0.30489,0.3051163554191589,0.7162910103797913,11.378454208374025,3.843106746673584,889.2278212761719,1436.7245565165806,306342985728.0,0.892,,0.057142857142857134,0.892,250698990000.0,260.35410607426724,0.9344881106144449,0.7466395538508604,,,,,,,,,,,,215.56824844,1.5607812,0.3059594,19.014168,40.25477,1.0,16.96141,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
29,29,385,251874.0,2253.0,220.77951000000002,1.9728900000000005,4.0,107213.0,0.33900901675224304,9.344691276550293,47.0,0.7982330322265625,6.804222106933594,45.0,5.189260959625244,5.189260959625244,1.311212182044983,0.9713600277900696,36.265525817871094,ELG + ELG,3,11.063362,115707670000.0,0.22509463,0.33869,0.33900901675224304,0.7982330322265625,9.344691276550293,6.804222106933594,955.431563705811,1497.2250901060986,115707666432.0,0.959,,0.057142857142857134,0.959,74232720000.0,198.0362800693079,0.4780477126360825,0.41021387583782576,,,,,,,,,,,,220.77945538,1.97283524,0.33967128,19.27091,40.520683,1.0,13.492232,304951.0,1.0,0.0030735852,1.4123187e-05,1.0545114e-05,1.0,0.0030735852,1.4123187e-05,1.0545114e-05,1.0,1.9637948,0.009023678,0.0067375517
30,30,420,592910.0,1852.0,214.63086,-0.01464,4.0,94524.0,0.2634434700012207,12.177196502685547,44.0,0.6613672971725464,3.3529579639434814,45.0,2.7271411418914795,2.7271411418914795,1.2294772863388062,1.0,35.77731704711914,ELG + ELG,3,11.518801,330218000000.0,0.10629981,0.26334,0.2634434700012207,0.6613672971725464,12.177196502685547,3.3529579639434814,800.7253414274553,1389.2577131033875,330218012672.0,0.8240000000000001,0.961,0.057142857142857134,0.961,275355400000.0,265.90286296567865,1.0881750990144927,0.8657802558561329,,,,,,,,,,,,214.63086535,-0.01462996,0.26439956,18.233583,39.887463,1.0,12.574989,307621.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.4538784,0.012536364,0.009921551
31,31,4,3629152.0,1933.0,135.88863999999998,-0.9748700000000001,26.0,54429.0,0.4066231548786163,4.3280086517333975,40.0,0.7871177792549133,3.6913530826568617,40.0,3.0299975872039795,3.0299975872039795,1.2182693481445312,0.7928287386894226,87.77485656738281,PG + PG,4,11.630485,427055780000.0,0.11205658,0.4059,0.4066231548786163,0.7871177792549133,4.3280086517333975,3.6913530826568617,1073.6094960877542,1489.6837996994072,427055775744.0,,0.883,0.37142857142857133,0.883,379750580000.0,285.82892278585314,0.8961164526532284,0.6595735886365115,,,,,,,,,,,,135.88863362,-0.97492752,0.4073578,18.996344,40.9888,5.0,78.94025,106991.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.526952,0.0625704,0.044468496
32,32,15,3891172.0,3056.0,139.22725,-1.54519,16.0,60082.0,0.3395165801048279,8.936283111572266,40.0,0.609051525592804,4.309550285339356,40.0,2.9489028453826904,2.9489028453826904,1.461408019065857,0.9999913573265076,50.43042755126953,PG + PG,4,11.422039999999999,264265200000.0,0.11927549,0.33952,0.3395165801048279,0.609051525592804,8.936283111572266,4.309550285339356,956.3858672293254,1338.1887783858308,264265203712.0,0.906,0.807,0.22857142857142854,0.906,208421570000.0,249.7659519308133,0.7109117313432544,0.5144728175335288,,,,,,,,,,,,139.22717062,-1.54524859,0.34095898,18.95324,40.530354,5.0,50.430428,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
33,33,45,3896212.0,1483.0,129.80597,-0.8302200000000001,8.0,37896.0,0.38068437576293945,9.616504669189453,40.0,0.8475534915924072,4.122061252593993,42.0,2.8739044666290283,2.8739044666290283,1.4343069791793823,0.9999988079071044,51.45428466796875,PG + PG,4,11.776137,597224100000.0,0.10063938,0.38068,0.38068437576293945,0.8475534915924072,9.616504669189453,4.122061252593993,1030.3402204415704,1528.3771389739725,597224128512.0,0.997,0.959,0.11428571428571427,0.997,577516500000.0,314.07588634136295,1.2184490193384052,0.9291253385041324,,,,,,,,,,,,129.80594584,-0.83017791,0.38200814,18.96374,40.82244,5.0,51.454285,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
34,34,329,262874.0,26.0,221.61067000000003,2.2238900000000004,12.0,139125.0,0.3855810463428497,6.221604347229004,40.0,0.8589239716529846,3.421708345413208,41.0,2.811662435531616,2.811662435531616,1.2169698476791382,0.9991628527641296,65.07320404052734,PG + PG,4,11.252039,178664780000.0,0.12878208,0.38552,0.3855810463428497,0.8589239716529846,6.221604347229004,3.421708345413208,1038.6988013332705,1535.0487681632098,178664783872.0,,0.986,0.17142857142857146,0.986,127773670000.0,223.74995018282848,0.5686025219320571,0.4679137698450546,,,,,,,,,,,,221.61069955,2.22389695,0.3865148,19.19102,40.85274,5.0,45.550365,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
