,Unnamed: 0_x,GAMA_ID,ID,RA,DEC,score,Unnamed: 0_y,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type,type_number,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,z,zlens,zsource,sigma_lens,sigma_source,dlens,dsource,corrected_stellar_mass,P1,P3,normalized_score,cnn_probability,m_half_re,sigma_star,theta_e_pm,theta_e_sis
18,2,323152.0,2967,130.54643000000002,1.64325,30.0,38855.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.578601956367493,0.9894577264785768,29.41335868835449,PG + ELG,1,,,,,0.35328593850135803,0.7215898633003235,7.519263744354247,11.317520141601562,981.8713916743382,1440.9954268947367,,1.0,1.0,0.42857142857142855,1.0,,,,
19,5,3575500.0,1906,129.23265,-1.57512,26.0,57129.0,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.9997017383575441,57.59304809570313,ELG + PG,2,11.76089,576620400000.0,0.12145566,0.36519,0.23253659904003146,0.3651945888996124,4.330916404724121,8.068477630615233,729.5945038881138,1003.2979867788335,304925136111.0143,0.929,,0.37142857142857144,0.929,552720000000.0,310.9926250010055,1.296095513586056,0.7626489468633338
20,113,345595.0,3294,130.02208000000002,1.90541,4.0,55015.0,0.35989525914192205,7.3161258697509775,40.0,0.08408384025096892,3.7349147796630864,47.0,2.932336807250977,2.932336807250977,1.273699164390564,0.999868094921112,71.43119812011719,ELG + PG,2,11.557787,361232600000.0,0.13262962,0.35945,0.08408384025096892,0.35989525914192205,3.7349147796630864,7.3161258697509775,309.7579803458986,993.8325572496905,35091788381.98966,0.929,,0.05714285714285714,0.929,308053640000.0,283.9563411086354,2.3588321324157073,1.604233145638953
21,217,145203.0,1939,183.3706,-1.38407,8.0,74128.0,0.338887482881546,7.433445453643799,40.0,0.06927647441625595,5.039492130279541,46.0,3.624403476715088,3.624403476715088,1.3904335498809814,0.993988275527954,71.33643341064453,ELG + PG,2,11.472861,297071700000.0,0.106158,0.33889,0.06927647441625595,0.338887482881546,5.039492130279541,7.433445453643799,259.5377575376944,955.2029013147817,21931640604.451317,0.843,,0.11428571428571428,0.843,241251100000.0,268.1441694688553,2.345776810246116,1.513615054085412
22,256,611334.0,1517,184.42766,0.33915,4.0,74991.0,0.3078350126743317,10.453988075256348,40.0,0.1533661186695099,4.0269556045532235,46.0,3.237013816833496,3.237013816833496,1.2440340518951416,0.9999997615814208,44.19900512695313,ELG + PG,2,11.554252,358304020000.0,0.11497575,0.3079,0.1533661186695099,0.3078350126743317,4.0269556045532235,10.453988075256348,523.2925594688895,894.7229183226787,122564212557.55482,0.855,0.96,0.05714285714285714,0.96,304935000000.0,283.2798888608742,1.4022510792512477,0.9629293723862143
23,302,184530.0,2250,176.70961,-1.43842,4.0,67459.0,0.3906523585319519,10.292731285095217,40.0,0.15642881393432614,9.673656463623047,45.0,4.153193473815918,4.153193473815918,2.329209089279175,0.9605602025985718,47.6322135925293,ELG + PG,2,11.738676,547868180000.0,0.10859871,0.39032,0.15642881393432614,0.3906523585319519,9.673656463623047,10.292731285095217,531.9758837655181,1047.2610370108846,141367661905.26288,0.997,,0.05714285714285714,0.997,518486900000.0,320.81309776320757,1.9743277820559906,1.4637637125907619
24,355,262836.0,1953,221.40536,2.31397,4.0,159401.0,0.418364942073822,10.22627067565918,42.0,0.14427031576633453,3.8695743083953857,47.0,2.8709077835083012,2.8709077835083012,1.3478573560714722,0.9999998807907104,45.51397323608398,ELG + PG,2,11.66045,457562030000.0,0.11519885,0.41836,0.14427031576633453,0.418364942073822,3.8695743083953857,10.22627067565918,497.1459571452978,1092.3985649316778,94766656928.67647,0.975,0.826,0.05714285714285714,0.975,413956930000.0,304.3209448192132,1.9204177722358582,1.4586731353458247
25,415,318892.0,985,212.77747,1.9696,4.0,123870.0,0.4383212924003601,10.446876525878906,42.0,0.07145899534225464,4.82208776473999,47.0,3.2070178985595703,3.2070178985595703,1.5036048889160156,0.9999982714653016,44.22132873535156,ELG + PG,2,11.63384,430367640000.0,0.12090432,0.43832,0.07145899534225464,0.4383212924003601,4.82208776473999,10.446876525878906,267.04877850031374,1123.238882933938,24326326974.4492,0.82,,0.05714285714285714,0.82,383435400000.0,298.9062558807885,2.982633193467828,1.968530716918648
26,57,3886216.0,1340,136.0962,-1.58451,8.0,56215.0,0.4041702151298523,8.735891342163086,45.0,0.8859135508537292,5.979778289794923,45.0,4.591189384460449,4.591189384460449,1.3024464845657349,0.9877343773841858,40.514793395996094,ELG + ELG,3,11.71675,520894940000.0,0.11510155,0.40417,0.4041702151298523,0.8859135508537292,8.735891342163086,5.979778289794923,1069.6226263754472,1550.162079850647,520894939136.0,0.843,,0.11428571428571428,0.843,486777320000.0,302.2364147070974,1.0708431161589398,0.8185017838898383
27,171,138582.0,2828,183.14009,-1.827,14.0,74160.0,0.3251754939556122,9.727863311767578,44.0,0.4326481819152832,4.904556751251222,47.0,3.7018616199493413,3.7018616199493413,1.3248893022537231,0.9999466538429259,35.33502578735352,ELG + ELG,3,11.56393,366378160000.0,0.12026352,0.32537,0.3251754939556122,0.4326481819152832,9.727863311767578,4.904556751251222,929.006684139526,1114.6091773191806,366378156032.0,0.975,0.986,0.2,0.986,313548440000.0,273.7815701625801,0.6758860736892519,0.3607810536001795
