,Unnamed: 0,Unnamed: 0.1,GAMA_ID,ID,RA,DEC,SCORE,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
101,101,141,373093.0,2897.0,139.30637,1.19776,4.0,0.3839914500713349,8.714599609375,40.0,0.8374122977256775,4.3738999366760245,43.0,3.5557072162628174,3.5557072162628174,1.2301068305969238,0.9998424649238586,54.19796371459961,PG + ELG
102,102,142,517251.0,729.0,131.42297,2.4245,4.0,0.4183921813964844,11.490439414978027,40.0,0.5378563404083252,3.0016183853149414,43.0,2.965233564376831,2.965233564376831,1.0122704505920408,1.0,43.8328857421875,PG + ELG
113,113,155,98583.0,2369.0,178.83655,0.8845700000000001,30.0,0.2829500138759613,10.192718505859377,40.0,0.8288580179214478,3.756629943847656,45.0,3.7344188690185542,3.7344188690185542,1.0059477090835571,0.9999971985816956,49.17961502075195,PG + ELG
123,123,167,585328.0,3234.0,182.36838,-0.00889,18.0,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.2233372926712036,1.0,39.34497833251953,PG + ELG
124,124,168,164145.0,2805.0,176.55307,-2.77556,16.0,0.09655099362134932,12.33885097503662,40.0,0.4266672730445862,2.972437620162964,44.0,2.898376941680908,2.898376941680908,1.02555251121521,1.0,40.14973068237305,PG + ELG
132,132,184,535401.0,2579.0,177.58995,-1.01635,12.0,0.30833232402801514,12.900524139404295,42.0,0.7957489490509033,3.1740193367004395,47.0,2.8999936580657963,2.8999936580657963,1.0944918394088743,1.0,37.99690628051758,PG + ELG
136,136,191,396624.0,3483.0,174.28986,1.59304,8.0,0.2363569140434265,11.308847427368164,40.0,0.6095730662345886,2.7995965480804443,43.0,2.757533073425293,2.757533073425293,1.015254020690918,1.0,41.72096633911133,PG + ELG
139,139,201,561058.0,3349.0,182.5603,-0.4954,8.0,0.3202874958515167,9.753260612487793,40.0,0.8555517792701721,3.6351492404937744,43.0,3.0174126625061035,3.0174126625061035,1.2047239542007446,0.999999701976776,48.4037971496582,PG + ELG
140,140,202,84425.0,2562.0,177.77478,0.42791,8.0,0.28586745262146,12.25743293762207,40.0,0.6736734509468079,3.1225991249084477,43.0,2.550144672393799,2.550144672393799,1.2244791984558103,1.0,38.429664611816406,PG + ELG
141,141,203,165293.0,2144.0,180.6015,-2.74642,8.0,0.2594617307186127,9.833870887756348,40.0,0.8707607984542847,3.698742389678955,43.0,2.9785277843475337,2.9785277843475337,1.241802215576172,0.999999701976776,45.05146789550781,PG + ELG
144,144,212,124620.0,2249.0,180.11038,-2.68407,8.0,0.27979251742362976,9.35053253173828,40.0,0.6828173398971558,3.200822353363037,44.0,2.8358519077301025,2.8358519077301025,1.128698706626892,0.9999998807907104,43.612571716308594,PG + ELG
147,147,216,131917.0,1818.0,183.24023,-2.1104700000000003,8.0,0.3776118457317352,7.547264575958253,42.0,0.4984885156154633,3.561207771301269,43.0,3.181340456008911,3.181340456008911,1.1194047927856443,0.9998906254768372,55.12791061401367,PG + ELG
