# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_234.0_-0.5,234,-0.5,g,2015-07-18 02:46:40,0.94,0.06,25.13,23.96,15825760000000,B
KIDS_345.6_-34.1,345.6,-34.126,i,2012-07-01 04:51:53,0.68,0.05,23.37,22.38,12723560000000,C
KIDS_37.2_-34.1,37.2,-34.126,i,2012-07-21 09:28:06,0.72,0.04,24.16,23.2,10836880000000,B
KIDS_179.5_-2.5,179.499,-2.478,u,2012-06-16 00:54:30,1.1,0.04,24.02,22.83,3115751000000,A
KIDS_338.1_-30.2,338.147,-30.17,g,2013-10-07 00:03:41,0.92,0.05,25.2,24.13,17393960000000,B
KIDS_211.0_0.5,211,0.5,i,2012-08-09 23:58:42,0.79,0.06,23.92,22.86,12815000000000,A
KIDS_235.0_0.5,235,0.5,i,2014-03-12 06:51:16,0.6,0.05,23.96,23.04,12671880000000,B
KIDS_0.0_-33.1,0,-33.137,i,2011-10-02 08:02:26,0.94,0.05,23.74,22.63,13243810000000,B
KIDS_180.5_-2.5,180.501,-2.478,u,2013-04-11 04:25:12,0.94,0.08,24.12,23.14,3275388000000,B
KIDS_351.6_-34.1,351.6,-34.126,r,2013-11-23 01:47:13,0.58,0.05,25.08,24.25,30490800000000,B
KIDS_131.0_-0.5,131,-0.5,u,2013-01-18 05:12:54,0.97,0.04,24.25,22.88,3356183000000,B
KIDS_45.1_-33.1,45.149,-33.137,i,2012-01-01 02:54:44,0.68,0.06,24.08,23.09,13366720000000,B
KIDS_131.0_-0.5,131,-0.5,g,2014-03-26 01:24:13,0.85,0.05,25.12,23.94,16512650000000,A
KIDS_175.5_-2.5,175.487,-2.478,g,2015-01-22 07:25:56,0.76,0.05,25.2,24.18,17503480000000,A
KIDS_346.0_-31.2,346.019,-31.159,i,2012-05-07 08:53:06,0.58,0.06,23.28,22.26,13011580000000,C
KIDS_224.0_1.5,224,1.489,g,2014-07-21 02:20:14,1.02,0.05,25.17,24.02,16309750000000,B
KIDS_186.0_-1.5,186,-1.489,i,2012-07-05 01:46:43,1.06,0.04,23.27,21.96,12762860000000,C
KIDS_224.0_1.5,224,1.489,r,2014-05-08 05:57:06,0.5,0.05,24.85,24.09,31043830000000,B
KIDS_140.0_0.5,140,0.5,i,2012-04-07 03:22:16,0.7,0.06,23.26,22.24,12875570000000,A
KIDS_140.0_0.5,140,0.5,g,2013-12-29 07:25:42,0.64,0.04,25,24.02,16057640000000,A
KIDS_214.0_-1.5,214,-1.489,g,2014-04-09 07:58:51,0.68,0.05,25.05,24.08,16743340000000,B
KIDS_218.6_2.5,218.607,2.478,i,2014-07-02 02:57:47,0.99,0.04,23.83,22.69,13197130000000,B
KIDS_214.0_-1.5,214,-1.489,u,2014-03-10 07:34:11,1.16,0.06,24.19,22.94,3352842000000,B
KIDS_178.0_-1.5,178,-1.489,i,2015-03-01 02:53:17,0.94,0.05,23.83,22.67,13466900000000,A
KIDS_214.0_-1.5,214,-1.489,r,2014-04-04 06:04:56,0.61,0.06,24.95,24.06,31323120000000,B
KIDS_348.1_-33.1,348.119,-33.137,i,2011-09-30 07:41:22,0.92,0.05,23.76,22.71,12850520000000,B
KIDS_213.6_2.5,213.593,2.478,i,2012-06-08 04:15:36,0.93,0.05,23.65,22.52,12920710000000,C
KIDS_223.0_1.5,223,1.489,u,2014-03-07 08:47:48,0.89,0.05,24.15,22.59,3317445000000,A
KIDS_39.6_-31.2,39.612,-31.159,i,2011-12-13 03:56:39,0.63,0.05,23.59,22.81,13435800000000,B
KIDS_213.6_2.5,213.593,2.478,g,2014-06-30 02:59:46,1.29,0.05,25.09,23.76,15626600000000,A
KIDS_33.3_-33.1,33.267,-33.137,u,2013-11-29 03:27:59,0.9,0.04,24.17,22.99,3408416000000,B
KIDS_339.8_-33.1,339.802,-33.137,g,2011-09-05 06:47:30,0.99,0.05,25.18,23.98,17486460000000,B
KIDS_50.6_-32.1,50.588,-32.148,u,2014-08-01 09:28:45,0.97,0.04,24.25,22.95,3238081000000,A
KIDS_33.3_-33.1,33.267,-33.137,g,2013-11-29 03:57:56,0.71,0.04,25.16,24.1,16761840000000,A
KIDS_223.0_1.5,223,1.489,g,2014-06-21 01:50:15,0.93,0.04,25.28,24.17,17233330000000,A
KIDS_212.0_-0.5,212,-0.5,g,2015-06-16 23:57:12,0.76,0.06,25.19,24.18,16710100000000,B
KIDS_180.0_0.5,180,0.5,r,2013-04-06 04:25:19,0.72,0.05,24.84,23.91,31549680000000,A
KIDS_348.0_-34.1,348,-34.126,g,2014-07-29 07:01:16,0.87,0.06,25.22,24.11,17245610000000,B
KIDS_41.9_-31.2,41.942,-31.159,r,2013-11-25 03:19:23,0.58,0.04,25.11,24.31,30876160000000,B
KIDS_50.4_-34.1,50.4,-34.126,r,2014-10-30 06:30:12,0.55,0.05,24.87,24.11,29645210000000,B
KIDS_356.5_-31.2,356.505,-31.159,g,2014-12-19 01:50:22,0.79,0.06,25.1,24.06,16447090000000,A
KIDS_41.9_-31.2,41.942,-31.159,g,2014-12-22 03:41:57,0.99,0.04,25.18,24.13,17177030000000,A
KIDS_224.0_-1.5,224,-1.489,u,2012-06-16 03:26:14,1.11,0.04,24.1,22.76,3211306000000,A
KIDS_224.0_-1.5,224,-1.489,r,2013-03-09 07:56:26,0.74,0.06,25.03,24.05,31873020000000,B
KIDS_134.0_0.5,134,0.5,i,2012-05-08 00:28:16,0.83,0.05,23.49,22.39,13223050000000,B
KIDS_331.5_-33.1,331.485,-33.137,g,2014-05-10 08:12:59,0.96,0.04,24.87,23.74,16715500000000,B
KIDS_216.0_1.5,216,1.489,g,2014-04-28 07:00:55,1,0.05,24.99,23.89,16327880000000,B
KIDS_218.0_-1.5,218,-1.489,i,2013-02-26 08:09:35,1.18,0.05,23.39,22.12,13623700000000,B
KIDS_134.0_0.5,134,0.5,g,2014-03-01 03:40:23,0.64,0.05,25.1,24.08,17391960000000,A
KIDS_232.0_-0.5,232,-0.5,u,2015-06-21 02:43:21,0.97,0.03,24.25,22.88,3282146000000,B
KIDS_174.5_2.5,174.485,2.478,r,2014-04-28 00:48:16,0.56,0.05,24.88,24.06,31316860000000,B
KIDS_232.0_-0.5,232,-0.5,g,2015-07-18 01:59:50,0.99,0.04,25.17,23.98,16205810000000,B
KIDS_235.0_-0.5,235,-0.5,g,2015-05-21 07:05:14,1.09,0.05,25.07,23.9,16408040000000,A
KIDS_348.0_-34.1,348,-34.126,i,2012-07-03 05:56:29,0.67,0.05,23.39,22.41,13113300000000,C
KIDS_349.2_-34.1,349.2,-34.126,r,2014-08-01 08:51:08,0.52,0.05,25.06,24.31,30592030000000,B
KIDS_350.4_-34.1,350.4,-34.126,g,2015-06-17 07:56:48,1.18,0.04,25.22,23.92,16869360000000,A
KIDS_141.0_0.5,141,0.5,u,2013-04-12 01:24:16,1.18,0.04,24.21,22.8,3287492000000,B
KIDS_347.1_-32.1,347.059,-32.148,g,2015-07-18 05:07:19,1.18,0.05,25.2,23.9,16122900000000,A
KIDS_228.0_-0.5,228,-0.5,i,2014-07-16 03:13:00,0.92,0.04,23.63,22.44,13207920000000,B
KIDS_228.0_-0.5,228,-0.5,u,2015-06-09 03:44:53,0.95,0.03,24.24,23.14,3053199000000,B
KIDS_141.0_0.5,141,0.5,g,2014-02-24 02:37:19,1.1,0.07,25.08,23.87,17348740000000,B
KIDS_354.0_-34.1,354,-34.126,u,2015-06-25 08:07:55,1.12,0.04,24.18,23.06,3204318000000,A
KIDS_351.7_-33.1,351.683,-33.137,i,2011-11-15 03:27:19,0.75,0.05,23.77,22.84,13290210000000,B
KIDS_330.9_-31.2,330.874,-31.159,u,2014-10-23 01:04:59,1.23,0.05,24.14,22.99,3031017000000,B
KIDS_346.8_-34.1,346.8,-34.126,u,2014-07-28 05:57:03,0.95,0.03,24.34,23.23,3432414000000,B
KIDS_335.5_-31.2,335.534,-31.159,r,2015-05-18 08:55:00,0.65,0.05,24.96,24,29984030000000,A
KIDS_1.2_-32.1,1.176,-32.148,u,2014-07-28 08:43:50,0.94,0.04,24.3,23.05,3399912000000,C
KIDS_177.5_2.5,177.493,2.478,r,2014-03-27 02:57:53,0.76,0.05,24.81,23.84,29672210000000,B
KIDS_349.3_-33.1,349.307,-33.137,i,2011-10-04 05:07:49,0.81,0.04,24.22,23.21,13738800000000,A
KIDS_179.5_2.5,179.499,2.478,g,2015-01-29 07:07:44,0.61,0.05,25.09,24.15,16156070000000,A
KIDS_221.6_-2.5,221.616,-2.478,g,2015-07-09 02:22:02,1.12,0.04,25.13,23.94,15986240000000,A
KIDS_179.5_2.5,179.499,2.478,i,2012-12-28 07:34:11,1.01,0.05,23.4,22.21,13677520000000,B
KIDS_179.5_2.5,179.499,2.478,u,2013-04-15 01:57:21,1.08,0.06,24.16,22.96,3265147000000,A
KIDS_179.5_2.5,179.499,2.478,r,2013-05-31 01:10:48,0.65,0.04,24.89,24,31261400000000,B
KIDS_164.0_0.5,164,0.5,g,2015-02-13 06:42:59,0.93,0.04,24.71,23.5,16363600000000,B
KIDS_223.6_2.5,223.621,2.478,r,2014-04-04 07:27:59,0.6,0.05,24.85,23.98,31010130000000,A
KIDS_206.0_0.5,206,0.5,u,2013-05-14 02:08:02,0.87,0.04,24.27,23.08,3362556000000,B
KIDS_176.5_-2.5,176.49,-2.478,r,2014-03-26 02:18:03,0.69,0.06,24.86,23.97,29867860000000,B
KIDS_187.0_0.5,187,0.5,r,2013-05-31 01:50:10,0.6,0.05,24.96,24.12,31281540000000,B
KIDS_355.2_-33.1,355.248,-33.137,i,2014-07-10 08:39:46,0.86,0.05,23.99,22.88,13438130000000,B
KIDS_164.0_0.5,164,0.5,r,2015-04-12 02:49:13,0.72,0.05,24.77,23.79,27996740000000,B
KIDS_164.0_0.5,164,0.5,u,2015-01-19 07:57:06,1.11,0.04,24.27,23.19,3339696000000,B
KIDS_164.0_0.5,164,0.5,i,2013-04-27 04:34:21,0.86,0.05,23.24,22.06,13378050000000,B
KIDS_350.4_-34.1,350.4,-34.126,r,2014-09-03 07:53:30,0.68,0.05,25,24.06,31123720000000,A
KIDS_51.6_-34.1,51.6,-34.126,i,2011-11-07 04:18:33,0.75,0.04,23.91,22.96,13732300000000,B
KIDS_206.0_0.5,206,0.5,i,2013-04-29 02:35:13,0.77,0.05,23.75,22.75,13506250000000,C
KIDS_206.0_0.5,206,0.5,g,2015-06-09 02:57:00,0.82,0.05,25.18,24.16,16164490000000,A
KIDS_213.0_-1.5,213,-1.489,i,2012-07-07 02:54:41,0.7,0.05,23.54,22.62,12955660000000,C
KIDS_168.0_0.5,168,0.5,i,2012-12-26 07:14:39,0.61,0.05,23.69,22.81,14111290000000,B
KIDS_214.6_-2.5,214.596,-2.478,g,2015-07-09 01:54:08,1.05,0.03,25.09,23.85,16021150000000,B
KIDS_354.0_-34.1,354,-34.126,g,2015-06-25 07:11:26,1.04,0.04,25.14,23.99,16315330000000,A
KIDS_176.5_-2.5,176.49,-2.478,u,2014-03-09 06:09:17,1,0.03,24.16,23.14,3312643000000,B
KIDS_206.0_0.5,206,0.5,r,2013-05-14 03:39:30,0.59,0.05,25.03,24.2,31525960000000,A
KIDS_224.0_-0.5,224,-0.5,r,2013-05-14 05:43:16,0.92,0.06,24.99,23.86,31122100000000,B
KIDS_187.0_0.5,187,0.5,g,2015-01-27 06:42:16,1.08,0.04,25.07,23.78,15776550000000,A
KIDS_176.5_-2.5,176.49,-2.478,g,2015-01-22 08:19:35,0.73,0.05,25.2,24.19,17634520000000,B
