,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GAMA_ID,ID,RA,DEC,SCORE,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
52,317,317,398,544823.0,3091.0,217.08359,-0.87218,4.0,0.25116270780563354,12.106101989746096,40.0,-0.002314425073564053,3.4998161792755127,47.0,2.539510488510132,2.539510488510132,1.3781459331512451,1.0,41.6813850402832,ELG + PG
55,331,331,410,343753.0,1072.0,222.02289,2.09729,4.0,0.2857232391834259,10.639206886291504,40.0,0.025177294388413436,3.978317260742188,46.0,2.9712839126586914,2.9712839126586914,1.3389219045639038,0.9999999403953552,41.40449905395508,ELG + PG
56,341,341,415,318892.0,985.0,212.77747,1.9696,4.0,0.4383212924003601,10.446876525878906,42.0,0.07145899534225464,4.82208776473999,47.0,3.2070178985595703,3.2070178985595703,1.5036048889160156,0.9999982714653016,44.22132873535156,ELG + PG
1,4,4,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,0.4066231548786163,4.3280086517333975,40.0,0.7871177792549133,3.6913530826568617,40.0,3.0299975872039795,3.0299975872039795,1.2182693481445312,0.7928287386894226,87.77485656738281,ELG + ELG
3,17,17,15,3891172.0,3056.0,139.22725,-1.54519,16.0,0.3395165801048279,8.936283111572266,40.0,0.609051525592804,4.309550285339356,40.0,2.9489028453826904,2.9489028453826904,1.461408019065857,0.9999913573265076,50.43042755126953,ELG + ELG
6,32,32,45,3896212.0,1483.0,129.80597,-0.8302200000000001,8.0,0.38068437576293945,9.616504669189453,40.0,0.8475534915924072,4.122061252593993,42.0,2.8739044666290283,2.8739044666290283,1.4343069791793823,0.9999988079071044,51.45428466796875,ELG + ELG
36,238,238,329,262874.0,26.0,221.61067000000003,2.2238900000000004,12.0,0.3855810463428497,6.221604347229004,40.0,0.8589239716529846,3.421708345413208,41.0,2.811662435531616,2.811662435531616,1.2169698476791382,0.9991628527641296,65.07320404052734,ELG + ELG
38,253,253,343,296451.0,2635.0,211.85399,1.55536,8.0,0.44453489780426025,9.042179107666016,40.0,0.8786750435829163,4.203336715698241,42.0,2.9684195518493652,2.9684195518493652,1.4160183668136597,0.9999939203262328,49.97542190551758,ELG + ELG
39,254,254,344,77312.0,2749.0,212.84528,0.02337,8.0,0.3729970455169678,12.457383155822756,40.0,0.8049169778823853,4.062300205230713,42.0,2.9378645420074463,2.9378645420074463,1.3827390670776367,1.0,38.93510055541992,ELG + ELG
41,260,260,350,884523.0,3446.0,218.72342000000003,-1.53014,8.0,0.5291037559509277,7.383744239807129,40.0,0.6208809018135071,3.604291439056397,41.0,2.620234489440918,2.620234489440918,1.375560641288757,0.9999227523803712,52.83850479125977,ELG + ELG
42,261,261,350,884523.0,3446.0,218.72342000000003,-1.53014,8.0,0.5290309786796571,6.953076362609862,40.0,0.5668296813964844,3.269418716430664,40.0,2.6645777225494385,2.6645777225494385,1.226993203163147,0.9997732043266296,61.35710144042969,ELG + ELG
47,283,283,370,78854.0,1377.0,218.86758,0.05829,4.0,0.343286007642746,5.920869827270508,40.0,0.6609829068183899,4.681939601898193,40.0,3.3647615909576416,3.3647615909576416,1.3914625644683838,0.9497814774513244,61.66193008422852,ELG + ELG
53,322,322,402,508050.0,1905.0,215.57336,-1.7087900000000005,4.0,0.4165388345718384,5.481457233428955,40.0,0.2047271877527237,3.7135543823242174,40.0,3.0362510681152344,3.0362510681152344,1.2230722904205322,0.9833397269248962,51.72885513305664,ELG + ELG
5,27,27,38,574628.0,1908.0,136.47115,-0.0465,8.0,0.3043074607849121,12.729042053222654,45.0,0.2748801112174988,5.4559149742126465,47.0,4.480290412902832,4.480290412902832,1.2177592515945437,0.9999920725822448,32.15911102294922,PG + PG
10,43,43,57,3886216.0,1340.0,136.0962,-1.58451,8.0,0.4041702151298523,8.735891342163086,45.0,0.8859135508537292,5.979778289794923,45.0,4.591189384460449,4.591189384460449,1.3024464845657349,0.9877343773841858,40.514793395996094,PG + PG
13,75,75,110,518676.0,1158.0,137.46832,2.81481,4.0,0.2256239205598831,14.57162380218506,45.0,0.19741642475128174,3.570939779281616,47.0,2.9687600135803223,2.9687600135803223,1.2028387784957886,1.0,31.20343589782715,PG + PG
19,127,127,171,138582.0,2828.0,183.14009,-1.827,14.0,0.3251754939556122,9.727863311767578,44.0,0.4326481819152832,4.904556751251222,47.0,3.701861619949341,3.701861619949341,1.3248893022537231,0.999946653842926,35.33502578735352,PG + PG
30,198,198,287,31427.0,610.0,179.70218,-1.1041299999999998,4.0,0.3317584991455078,12.064910888671875,44.0,0.3280453979969025,3.928969383239746,47.0,3.134586811065674,3.134586811065674,1.2534250020980835,1.0,31.43706130981445,PG + PG
49,302,302,384,238892.0,1924.0,215.56828,1.56082,4.0,0.3051163554191589,11.378454208374025,44.0,0.7162910103797913,3.843106746673584,45.0,2.9842140674591064,2.9842140674591064,1.2878119945526123,1.0,37.94549179077149,PG + PG
50,303,303,385,251874.0,2253.0,220.77951,1.9728900000000005,4.0,0.33900901675224304,9.344691276550293,47.0,0.7982330322265625,6.804222106933594,45.0,5.189260959625244,5.189260959625244,1.311212182044983,0.9713600277900696,36.265525817871094,PG + PG
58,347,347,420,592910.0,1852.0,214.63086,-0.01464,4.0,0.2634434700012207,12.177196502685547,44.0,0.6613672971725464,3.3529579639434814,45.0,2.7271411418914795,2.7271411418914795,1.2294772863388062,1.0,35.77731704711914,PG + PG
