,Unnamed: 0,GAMA_ID,ID,RA_x,DEC_x,type,corrected_stellar_mass,zlens,sigma_lens,zsource,sigma_source,R,dlens,dsource,Z,STELLAR_MASS,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,prob,error,score,P1,P3
10,10,272448.0,2541.0,179.41953,1.42309,PG + ELG,221299998720.0,0.2717644274234772,11.36670207977295,0.8888060450553894,4.819479465484619,1.464757204055786,819.0556940040425,1551.7230385762591,0.27160000801086426,221299998720.0,0.2717644274234772,11.36670207977295,40.0,0.8888060450553894,4.819479465484619,43.0,3.290292501449585,3.290292501449585,0.9999996423721312,41.047550201416016,4,,0.912
13,13,544226.0,3212.0,214.42336,-0.8924700000000001,PG + ELG,73400000512.0,0.22704437375068665,9.393048286437988,0.6498237252235413,7.239895820617676,2.1221704483032227,716.4341659211937,1378.5027482374978,0.2269999980926513,73400000512.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,0.996205747127533,45.35596466064453,18,0.988,
14,14,544226.0,3212.0,214.42336,-0.8924700000000001,PG + ELG,73400000512.0,0.2270387411117553,6.293928146362305,0.6498517394065857,6.4098219871521,1.6411417722702026,716.4205861941127,1378.5291908659228,0.2269999980926513,73400000512.0,0.6498517394065857,6.4098219871521,47.0,0.2270387411117553,6.293928146362305,40.0,3.8350911140441895,3.8350911140441895,0.36642855405807495,39.20055389404297,18,0.988,
15,15,62734.0,539.0,213.56206,-0.24168,PG + ELG,176499998720.0,0.27416789531707764,11.88359546661377,0.5974463224411011,3.756571292877197,1.4813647270202637,824.2876657263043,1326.0213113706118,0.2741999924182892,176499998720.0,0.27416789531707764,11.88359546661377,40.0,0.5974463224411011,3.756571292877197,45.0,2.535885572433472,2.535885572433472,1.0,40.7535400390625,8,0.812,
16,16,513159.0,2123.0,221.91681,-0.9994200000000001,PG + ELG,86079995904.0,0.28945088386535645,9.708475112915039,0.7014451026916504,3.312683582305908,1.241552472114563,856.9123588679262,1424.4773439052576,0.28940001130104065,86079995904.0,0.28945088386535645,9.708475112915039,40.0,0.7014451026916504,3.312683582305908,44.0,2.6681785583496094,2.6681785583496094,0.9999999403953552,40.63710021972656,4,,0.862
17,17,593219.0,457.0,215.79222000000001,-0.09455,PG + ELG,270300004352.0,0.4010081887245178,11.679271697998047,0.8600229024887085,3.8478670120239262,1.3714710474014282,1064.4513822640058,1535.6838374365784,0.4011000096797943,270300004352.0,0.4010081887245178,11.679271697998047,40.0,0.8600229024887085,3.8478670120239262,45.0,2.805649518966675,2.805649518966675,1.0,41.26661682128906,4,,0.895
18,18,617569.0,1418.0,212.16078,0.2401,PG + ELG,199999995904.0,0.31386977434158325,9.380717277526855,0.727821946144104,3.4270968437194824,1.3223259449005127,906.8034108997523,1445.9520399680828,0.3138000071048737,199999995904.0,0.31386977434158325,9.380717277526855,40.0,0.727821946144104,3.4270968437194824,43.0,2.5917186737060547,2.5917186737060547,0.9999999403953552,49.87385177612305,4,,0.964
19,19,342310.0,2163.0,215.08101000000002,2.1713400000000003,PG + ELG,166599999488.0,0.3797509968280792,9.367025375366213,0.6925411820411682,3.493913173675537,1.321237087249756,1028.736699355924,1416.9291046471408,0.3799999952316284,166599999488.0,0.3797509968280792,9.367025375366213,40.0,0.6925411820411682,3.493913173675537,43.0,2.644425630569458,2.644425630569458,0.9999998807907104,47.35982131958008,4,0.903,
20,20,250289.0,2730.0,214.36708,1.99311,PG + ELG,189400006656.0,0.4012139439582825,8.795989036560059,0.7196155786514282,4.5154995918273935,1.378510355949402,1064.788974686647,1439.410257048191,0.4009000062942505,189400006656.0,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,0.9999518990516664,52.42391586303711,28,0.999,1.0
21,21,323152.0,2967.0,130.54643000000002,1.64325,PG + ELG,384288132535.9068,0.35328593850135803,7.519263744354247,0.7215898633003235,11.317520141601562,1.5786019563674931,981.8713916743384,1440.9954268947367,0.7215999960899353,827700019200.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,0.9894577264785768,29.41335868835449,30,1.0,1.0
